"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Cyperaceae"	"Diospyros"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Grossulariaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Maclura"	"Ostrya.Carpinus"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Scrophulariaceae"	"Solanaceae"	"Ulmus"	"Urticaceae"	"Violaceae"
804	828	"Ferndale Bog"	34.40556	-95.80833	84	"AWI"	84	2847	3706	3243	0	0	0	3	0	0	1	0	33	21	1	0	1	39	0	0	0	0	0	11	0	4	0	0	4	1	19	3	2	84	0	0	2	0	0	3	2	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	88	"AWI"	88	2982	3913	3417	0	0	1	0	0	0	0	0	10	46	0	0	0	70	0	0	0	0	0	6	0	0	0	0	6	0	8	0	1	73	0	0	1	0	0	11	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	92	"AWI"	92	3117	4125	3595	0	0	1	5	2	0	0	0	7	58	0	0	0	65	0	0	0	0	0	4	0	1	0	0	1	0	6	2	3	57	0	0	3	0	0	13	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	96	"AWI"	96	3260	4309	3773	1	0	0	5	1	0	0	0	1	0	0	0	0	146	0	0	0	0	0	4	0	1	0	0	1	0	5	1	4	35	0	0	1	0	0	2	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	100	"AWI"	100	3396	4504	3956	0	0	1	2	2	52	1	0	10	14	0	0	0	48	0	0	0	0	0	6	0	0	0	0	10	0	25	0	0	59	0	0	1	0	0	1	1	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	104	"AWI"	104	3544	4669	4136	1	0	1	3	8	0	0	0	4	4	0	0	0	20	0	0	0	0	0	0	0	2	0	0	2	0	13	2	0	56	0	0	4	0	0	10	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	108	"AWI"	108	3692	4846	4318	1	0	1	10	4	93	0	0	6	11	0	0	0	11	0	0	0	0	0	10	0	5	0	0	4	0	19	0	0	31	0	0	0	0	0	8	1	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	112	"AWI"	112	3830	5034	4500	3	0	0	10	1	68	0	0	3	16	0	0	0	38	0	0	0	0	0	20	0	0	0	0	8	0	41	2	3	16	0	0	3	0	0	2	1	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	116	"AWI"	116	3979	5195	4686	1	0	2	13	2	85	0	0	12	10	0	0	0	33	0	0	0	0	0	19	0	0	0	0	3	0	40	0	0	37	0	0	5	0	0	1	1	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	120	"AWI"	120	4123	5357	4874	0	0	2	12	5	62	0	0	4	5	0	0	0	61	0	0	0	0	0	15	0	0	0	0	3	0	37	1	3	47	0	0	5	0	0	1	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	124	"AWI"	124	4263	5504	5057	0	1	2	3	6	0	0	0	2	8	0	0	0	90	0	0	0	0	0	20	0	1	0	0	6	4	29	3	0	65	0	0	0	0	0	12	1	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	128	"AWI"	128	4402	5658	5252	1	1	2	19	1	0	0	0	3	4	0	1	0	49	0	0	0	0	0	24	0	0	1	0	5	0	39	3	18	45	0	0	4	1	0	2	3	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	132	"AWI"	132	4555	5809	5425	0	0	5	20	2	35	0	0	3	0	1	1	0	30	0	0	0	0	0	12	0	1	0	1	6	0	20	2	13	99	0	0	3	1	0	1	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	136	"AWI"	136	4737	5999	5578	1	0	4	6	4	81	0	0	2	0	1	1	0	15	0	0	0	0	0	23	0	3	0	0	4	0	39	3	7	44	0	0	2	0	0	2	3	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	138	"AWI"	138	4822	6088	5652	0	0	7	3	3	105	0	0	3	1	0	0	0	18	0	0	0	0	0	3	0	3	0	0	4	0	57	0	3	23	0	0	2	0	0	0	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	140	"AWI"	140	4920	6176	5723	0	0	6	9	0	0	0	0	2	1	0	0	0	18	0	0	0	0	0	11	0	0	0	0	5	0	83	0	3	16	0	0	2	1	1	2	0	3	0
804	828	"Ferndale Bog"	34.40556	-95.80833	142	"AWI"	142	5010	6250	5801	1	1	3	9	1	0	0	0	3	1	2	2	1	31	0	0	0	0	0	15	0	0	0	0	3	0	69	1	1	31	0	0	2	0	0	3	1	2	0
804	828	"Ferndale Bog"	34.40556	-95.80833	144	"AWI"	144	5104	6331	5877	0	2	5	11	2	84	0	0	4	4	0	0	0	69	0	0	0	0	0	14	0	1	0	0	0	0	107	1	0	35	0	0	0	0	0	1	0	0	0
