"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araucaria"	"Arecaceae"	"Asteraceae"	"Banara"	"Boraginaceae"	"Cannabaceae"	"Caprifoliaceae"	"Cecropia"	"Celtis"	"Clethra"	"Cyathea cf. C. delgadoi"	"Cyperaceae"	"Dodonaea"	"Drimys"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fuchsia"	"Gordonia"	"Griselinia"	"Ilex"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Lamanonia"	"Lamiaceae"	"Melastomataceae"	"Meliosma"	"Myrsine"	"Myrtaceae"	"Oxalidaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Rubiaceae"	"Schinus"	"Solanaceae"	"Styrax"	"Symplocos"	"Weinmannia"	"Xyridaceae"
288	294	"Serra da Boa Vista"	-27.7	-49.15	40	"AWI"	40	4545	6878	5702	2	0	0	0	1	0	0	2	0	5	1	0	3	5	0	13	0	0	2	0	0	1	7	8	68	12	0	1	0	0	10	0	61	10	0	0	0	141	4	0	0	0	1	0	584	0
288	294	"Serra da Boa Vista"	-27.7	-49.15	44	"AWI"	44	5597	7514	6745	6	0	0	0	0	0	0	2	0	5	0	0	7	4	0	38	0	3	0	0	0	1	2	5	42	19	0	6	1	0	18	2	63	20	1	0	0	217	2	0	0	0	3	0	580	0
288	294	"Serra da Boa Vista"	-27.7	-49.15	46	"AWI"	46	6314	7804	7233	3	0	0	0	2	0	0	2	1	8	0	0	4	3	0	38	0	0	0	0	0	1	2	10	35	26	0	0	1	1	7	0	51	22	0	0	0	257	4	0	0	0	2	0	635	1
288	294	"Serra da Boa Vista"	-27.7	-49.15	48	"AWI"	48	6795	8125	7673	13	1	0	0	2	2	0	0	0	4	0	0	2	9	1	35	0	3	2	0	0	2	8	5	40	26	0	6	2	1	17	0	52	25	1	0	0	354	1	0	0	0	0	0	556	1
288	294	"Serra da Boa Vista"	-27.7	-49.15	52	"AWI"	52	7197	9062	8159	28	0	0	19	7	2	0	0	7	26	1	0	12	7	2	200	0	8	2	0	0	0	0	5	46	52	0	29	4	2	48	3	96	53	0	0	6	1364	5	4	0	0	4	14	153	11
288	294	"Serra da Boa Vista"	-27.7	-49.15	56	"AWI"	56	7655	9767	8660	19	0	0	18	16	0	0	1	23	8	2	0	14	8	2	274	1	11	2	0	0	0	6	6	68	90	0	64	1	3	97	4	128	152	3	0	9	2001	6	3	0	1	5	21	541	14
288	294	"Serra da Boa Vista"	-27.7	-49.15	60	"AWI"	60	8066	10472	9174	20	2	5	36	19	0	0	1	27	13	2	0	8	20	1	472	0	7	0	0	10	0	0	6	78	77	15	179	0	1	151	2	69	185	4	0	16	2592	9	4	1	0	1	36	136	25
288	294	"Serra da Boa Vista"	-27.7	-49.15	64	"AWI"	64	8506	11035	9668	24	3	0	46	31	3	697	0	34	5	5	0	12	14	5	812	1	6	6	0	22	0	0	20	53	86	0	247	0	4	150	1	47	204	0	0	16	4041	13	4	0	2	3	25	102	39
288	294	"Serra da Boa Vista"	-27.7	-49.15	68	"AWI"	68	8875	11507	10092	14	3	10	56	31	0	958	0	18	3	4	0	17	11	0	922	1	15	7	0	46	0	1	13	54	69	24	482	0	0	141	0	47	300	1	0	42	4201	13	4	2	2	4	21	83	68
288	294	"Serra da Boa Vista"	-27.7	-49.15	72	"AWI"	72	9241	11972	10521	19	5	11	67	32	0	733	1	4	10	7	0	9	5	0	641	1	13	4	0	59	0	0	17	39	83	18	310	0	1	169	0	36	220	2	0	43	3266	7	2	1	2	1	18	78	28
288	294	"Serra da Boa Vista"	-27.7	-49.15	76	"AWI"	76	9649	12408	10953	15	3	0	53	18	1	0	1	11	11	2	1	11	15	1	502	0	5	4	0	57	0	0	13	28	94	17	211	1	0	88	0	23	160	1	0	22	2618	8	1	1	1	0	19	42	41
288	294	"Serra da Boa Vista"	-27.7	-49.15	80	"AWI"	80	10008	12858	11390	4	0	0	35	16	0	0	0	7	3	0	0	2	5	0	285	0	1	1	0	0	0	5	5	20	32	0	119	0	2	25	0	22	74	0	0	14	1095	3	0	0	0	2	8	49	9
288	294	"Serra da Boa Vista"	-27.7	-49.15	84	"AWI"	84	10432	13303	11813	9	1	0	28	11	0	0	0	4	4	0	0	3	3	0	211	0	2	4	0	29	0	0	7	17	43	0	77	0	1	32	0	19	85	0	0	0	1391	9	3	1	0	1	6	13	18
288	294	"Serra da Boa Vista"	-27.7	-49.15	88	"AWI"	88	10834	13728	12240	4	4	7	49	13	0	0	0	5	2	4	0	6	7	0	428	0	5	1	0	29	0	0	4	22	57	18	233	1	0	48	0	22	115	2	0	30	1952	4	2	1	0	1	9	22	26
288	294	"Serra da Boa Vista"	-27.7	-49.15	92	"AWI"	92	11238	14134	12670	7	1	8	47	10	0	0	1	10	5	1	0	6	8	0	290	0	6	3	0	30	0	0	6	16	51	0	117	0	0	22	0	17	89	1	0	23	1546	6	2	0	1	0	13	14	22
288	294	"Serra da Boa Vista"	-27.7	-49.15	96	"AWI"	96	11671	14571	13094	9	3	5	41	8	0	0	0	6	8	0	0	7	6	0	284	0	3	2	0	45	0	0	6	1	34	20	182	0	0	29	0	9	90	3	0	26	1622	1	2	0	0	0	8	12	35
288	294	"Serra da Boa Vista"	-27.7	-49.15	99	"AWI"	99	11996	14872	13420	8	3	0	54	9	1	351	0	7	2	3	0	9	5	0	298	0	4	6	0	28	0	0	3	14	50	9	117	0	0	40	0	20	88	1	0	18	1801	3	1	0	1	0	11	6	34
288	294	"Serra da Boa Vista"	-27.7	-49.15	104	"AWI"	104	12529	15412	13961	4	0	0	36	13	1	0	0	6	2	3	0	4	6	1	546	0	4	0	0	40	0	0	6	27	60	13	207	0	0	53	0	21	129	3	0	40	2669	5	4	0	0	1	0	12	26
288	294	"Serra da Boa Vista"	-27.7	-49.15	109	"AWI"	109	13095	15908	14507	7	0	0	29	9	0	0	0	3	3	0	0	2	8	0	273	0	3	2	0	43	0	0	7	10	64	0	153	0	0	40	0	16	79	0	0	27	1706	7	2	2	1	0	17	14	21
288	294	"Serra da Boa Vista"	-27.7	-49.15	112	"AWI"	112	13427	16208	14832	13	2	0	64	21	0	0	0	11	1	2	0	1	4	0	430	0	4	3	0	36	0	0	3	21	39	10	214	1	1	40	0	23	253	0	0	39	2917	4	7	5	1	0	20	26	32
288	294	"Serra da Boa Vista"	-27.7	-49.15	117	"AWI"	117	14033	16715	15365	4	2	0	40	8	0	259	2	6	4	2	0	5	11	1	286	0	4	0	0	32	0	0	3	14	46	14	141	1	0	33	0	19	81	1	0	23	1552	7	2	0	1	0	11	23	24
288	294	"Serra da Boa Vista"	-27.7	-49.15	120	"AWI"	120	14412	17016	15688	7	3	0	47	16	1	480	0	7	2	0	0	3	7	0	517	2	3	2	0	20	0	0	7	23	38	16	264	3	1	46	0	30	151	3	0	31	3013	7	2	1	0	1	16	30	30
288	294	"Serra da Boa Vista"	-27.7	-49.15	125	"AWI"	125	15024	17509	16226	9	1	0	32	12	0	0	1	5	6	0	0	6	6	0	243	0	2	2	0	30	0	0	7	13	43	14	204	0	0	31	0	20	90	1	0	18	1755	2	0	0	1	1	8	12	28
288	294	"Serra da Boa Vista"	-27.7	-49.15	128	"AWI"	128	15426	17773	16536	1	5	0	54	17	0	0	0	12	0	3	0	2	9	0	390	0	4	1	0	34	0	1	5	29	24	13	195	0	0	47	0	35	132	0	0	22	2646	8	5	1	0	2	8	11	18
288	294	"Serra da Boa Vista"	-27.7	-49.15	131	"AWI"	131	15851	18011	16845	4	2	0	50	11	0	302	1	4	3	0	0	2	2	0	352	0	4	2	0	34	0	0	8	14	48	11	222	0	1	47	0	13	88	1	0	32	1876	6	1	1	0	1	10	5	20
288	294	"Serra da Boa Vista"	-27.7	-49.15	136	"AWI"	136	16392	18756	17444	0	5	8	29	28	0	0	1	15	2	0	0	11	1	5	1189	0	5	2	0	51	0	0	1	11	53	0	259	0	1	216	0	15	160	0	0	24	7256	22	1	0	0	1	0	66	78
288	294	"Serra da Boa Vista"	-27.7	-49.15	139	"AWI"	139	16669	19314	17837	0	0	0	39	7	2	350	0	1	4	0	0	5	2	0	349	0	1	1	0	35	0	0	2	2	45	12	254	0	0	70	0	18	83	0	0	22	2163	6	0	0	0	0	0	7	38
