"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1115	1149	"Inglesby Lake"	44.48333	-77.05	260	"AWI"	260	6682	7865	7319	0	2	1	0	0	0	2	0	0	0	0	1	0	0	1	0	5	0	0	0	13	1	143	0	0	23	0	0	0	8	3
1115	1149	"Inglesby Lake"	44.48333	-77.05	280	"AWI"	280	7190	8223	7751	0	8	1	0	0	0	1	2	0	0	0	1	0	0	6	0	3	0	0	0	12	0	133	0	0	22	0	0	1	9	3
1115	1149	"Inglesby Lake"	44.48333	-77.05	300	"AWI"	300	7685	8637	8140	0	2	0	0	0	0	3	2	0	0	0	0	0	0	0	0	2	0	0	0	16	1	159	0	0	13	0	0	0	2	1
1115	1149	"Inglesby Lake"	44.48333	-77.05	320	"AWI"	320	7992	9083	8519	1	2	1	1	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	8	0	160	0	0	16	0	0	0	1	4
1115	1149	"Inglesby Lake"	44.48333	-77.05	340	"AWI"	340	8332	9456	8895	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	168	0	0	5	1	0	0	1	5
1115	1149	"Inglesby Lake"	44.48333	-77.05	360	"AWI"	360	8709	9795	9286	2	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	12	1	158	0	0	9	0	0	1	6	5
1115	1149	"Inglesby Lake"	44.48333	-77.05	380	"AWI"	380	9137	10086	9672	2	3	0	0	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	160	0	0	9	0	0	0	6	2
1115	1149	"Inglesby Lake"	44.48333	-77.05	400	"AWI"	400	9626	10354	10046	1	4	0	1	0	0	6	1	0	0	0	1	0	0	0	0	2	0	0	0	6	3	156	0	0	14	0	0	1	4	0
1115	1149	"Inglesby Lake"	44.48333	-77.05	420	"AWI"	420	10139	10694	10402	2	1	0	0	0	0	11	0	0	0	0	2	0	0	0	0	6	0	0	1	2	4	160	1	0	9	0	0	0	2	5
1115	1149	"Inglesby Lake"	44.48333	-77.05	430	"AWI"	430	10300	10937	10562	1	0	2	0	2	0	1	1	0	0	0	1	0	1	0	0	4	0	0	1	0	8	165	0	0	0	0	0	0	4	5
1115	1149	"Inglesby Lake"	44.48333	-77.05	440	"AWI"	440	10417	11299	10774	0	0	1	1	1	0	4	1	0	0	0	0	1	1	0	0	3	0	0	67	0	20	154	1	0	7	0	0	1	3	3
1115	1149	"Inglesby Lake"	44.48333	-77.05	450	"AWI"	450	10549	11598	10994	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	21	1	24	160	0	0	0	0	0	0	2	6
1115	1149	"Inglesby Lake"	44.48333	-77.05	460	"AWI"	460	10700	11861	11213	0	0	0	1	1	0	4	0	0	0	0	3	1	0	0	0	5	0	0	342	0	27	137	1	0	11	0	0	1	1	3
1115	1149	"Inglesby Lake"	44.48333	-77.05	470	"AWI"	470	10841	12138	11424	0	1	0	2	0	0	5	0	1	0	0	4	0	0	0	0	2	0	0	1	0	78	101	0	2	2	0	0	0	1	1
1115	1149	"Inglesby Lake"	44.48333	-77.05	480	"AWI"	480	10974	12423	11623	2	1	1	0	0	0	4	0	0	0	1	6	0	0	2	0	4	0	0	2	2	47	104	1	0	12	0	0	0	4	4
