"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juncaceae"	"Juniperus"	"Larix"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	160	"AWI"	160	2570	3489	3112	4	0	0	0	0	0	0	27	0	0	3	0	0	0	8	0	0	3	0	0	0	0	0	0	56	0	1	0	274	0	0	0	0	5	0	0	0	0	0	0	0	0	91	2	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	190	"AWI"	190	2942	3740	3394	3	0	0	0	0	0	0	16	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	55	1	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	210	"AWI"	210	3236	3888	3577	4	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	17	1	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	220	"AWI"	220	3335	3983	3667	3	0	0	0	0	0	0	19	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	1	65	0	0	0	332	0	0	0	0	11	0	0	0	0	0	1	0	1	16	1	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	240	"AWI"	240	3495	4189	3840	12	15	0	0	0	0	0	43	2	0	0	0	0	0	14	0	0	7	0	0	0	0	0	1	68	0	0	0	416	0	0	0	0	14	0	0	0	0	0	3	0	2	9	6	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	260	"AWI"	260	3687	4346	4019	4	0	0	0	0	1	0	59	0	2	0	0	0	0	6	0	0	0	0	0	0	1	0	0	105	0	0	0	0	13	0	0	0	8	0	0	0	0	0	1	1	4	0	4	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	280	"AWI"	280	3899	4502	4192	2	0	0	1	0	0	0	107	0	3	0	1	0	1	14	0	0	0	0	0	0	0	0	2	43	0	0	0	321	0	0	0	0	8	0	0	1	0	0	0	0	3	50	3	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	300	"AWI"	300	4084	4713	4391	4	0	0	0	0	2	0	41	0	0	0	1	1	0	6	0	0	0	0	0	2	0	0	0	72	0	0	0	0	0	0	2	0	7	0	0	0	0	0	1	0	1	143	3	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	320	"AWI"	320	4258	5003	4612	4	0	0	0	0	1	0	42	0	0	0	0	0	0	21	0	0	2	0	0	2	0	0	0	67	0	0	0	311	0	2	0	0	10	0	0	0	0	0	4	0	2	156	3	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	340	"AWI"	340	4443	5234	4839	0	0	0	0	0	0	0	10	0	1	1	0	0	0	24	0	0	1	0	0	0	0	0	27	29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	120	1	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	360	"AWI"	360	4637	5438	5068	2	0	0	0	0	0	0	12	0	0	0	0	0	0	59	0	0	1	0	0	1	0	0	0	49	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	148	4	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	380	"AWI"	380	4916	5612	5296	1	0	0	0	0	0	0	5	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	137	1	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	400	"AWI"	400	5192	5880	5557	1	0	0	1	0	0	0	5	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	12	0	0	0	197	0	3	0	0	1	0	0	0	0	0	0	0	0	324	0	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	420	"AWI"	420	5440	6316	5851	1	0	4	0	0	0	0	35	0	0	0	0	0	0	62	0	0	0	0	0	0	1	0	0	13	0	0	0	195	0	23	0	0	7	1	0	0	0	0	0	1	1	82	2	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	440	"AWI"	440	5701	6639	6173	0	0	2	0	2	2	0	34	0	0	1	0	0	0	27	0	0	3	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	14	0	0	1	0	0	1	0	1	81	5	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	460	"AWI"	460	6019	6920	6487	1	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	76	3	0
