"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Scrophulariaceae"	"Thalictrum"
346	354	"Chabada Lake"	61.974448	129.374442	213	"AWI"	213	2836	3762	3326	0	0	0	1	2	0	0	78	0	0	1	8	0	0	1	0	0	2	0	7	176	4	0	0	0	0	0	1	0	0
346	354	"Chabada Lake"	61.974448	129.374442	223	"AWI"	223	2968	3887	3450	0	0	0	0	0	0	0	118	0	0	2	5	0	0	0	0	0	1	0	3	182	3	0	0	0	0	0	2	0	0
346	354	"Chabada Lake"	61.974448	129.374442	233	"AWI"	233	3072	4053	3567	0	0	1	0	1	0	0	76	0	0	0	3	0	0	1	0	0	4	0	2	158	1	0	0	0	0	0	4	0	0
346	354	"Chabada Lake"	61.974448	129.374442	243	"AWI"	243	3149	4259	3674	0	16	0	0	4	0	0	94	0	0	0	2	0	1	0	0	0	3	0	3	245	5	0	0	0	0	0	1	0	1
346	354	"Chabada Lake"	61.974448	129.374442	253	"AWI"	253	3241	4389	3790	0	0	0	0	1	0	0	118	0	0	0	6	0	1	4	0	0	4	0	11	126	13	0	0	0	0	0	3	0	1
346	354	"Chabada Lake"	61.974448	129.374442	263	"AWI"	263	3328	4553	3901	0	15	0	0	1	0	0	101	0	0	0	7	0	0	3	0	0	1	0	4	105	16	0	0	0	0	0	3	0	6
346	354	"Chabada Lake"	61.974448	129.374442	273	"AWI"	273	3408	4706	4018	0	0	0	0	1	0	0	87	0	0	0	2	0	0	3	0	0	2	0	5	170	12	0	0	0	0	0	2	0	0
346	354	"Chabada Lake"	61.974448	129.374442	278	"AWI"	278	3458	4790	4073	0	0	0	0	2	0	0	88	1	0	0	0	0	2	4	0	0	1	0	4	134	8	0	0	0	0	0	2	0	2
346	354	"Chabada Lake"	61.974448	129.374442	288	"AWI"	288	3542	4932	4192	0	9	0	0	1	0	0	111	0	0	0	1	0	1	3	0	0	0	0	3	97	2	0	0	0	0	0	3	0	0
346	354	"Chabada Lake"	61.974448	129.374442	298	"AWI"	298	3649	5090	4307	0	10	0	0	1	0	0	76	0	0	0	1	0	0	2	0	0	1	0	12	157	4	0	0	0	0	0	4	0	1
346	354	"Chabada Lake"	61.974448	129.374442	303	"AWI"	303	3695	5156	4364	0	0	0	0	0	0	0	113	0	0	0	2	0	0	0	0	0	1	0	7	116	5	0	0	0	0	0	6	0	1
346	354	"Chabada Lake"	61.974448	129.374442	313	"AWI"	313	3787	5293	4477	0	0	0	0	3	0	0	71	0	0	0	2	0	1	5	0	0	1	0	3	121	16	0	0	0	0	0	2	0	0
346	354	"Chabada Lake"	61.974448	129.374442	323	"AWI"	323	3864	5425	4594	0	0	0	0	0	0	0	69	1	0	0	0	0	0	5	0	0	1	0	5	0	5	0	0	0	0	0	3	0	0
346	354	"Chabada Lake"	61.974448	129.374442	333	"AWI"	333	3971	5549	4708	0	0	0	0	0	0	0	48	0	0	0	1	0	0	3	0	0	3	0	1	148	3	0	0	0	0	0	1	0	1
346	354	"Chabada Lake"	61.974448	129.374442	343	"AWI"	343	4060	5696	4819	0	0	0	0	2	0	0	83	0	0	0	2	0	1	0	0	0	2	0	3	137	7	0	0	0	0	0	3	0	2
346	354	"Chabada Lake"	61.974448	129.374442	353	"AWI"	353	4170	5819	4930	0	18	0	0	1	0	0	50	0	0	0	1	0	1	2	0	0	2	0	1	150	5	0	0	0	0	0	0	0	0
346	354	"Chabada Lake"	61.974448	129.374442	363	"AWI"	363	4267	5949	5049	0	0	0	0	1	0	0	53	0	0	0	1	0	2	3	0	0	2	0	3	153	5	0	0	0	0	0	0	0	1
346	354	"Chabada Lake"	61.974448	129.374442	373	"AWI"	373	4349	6109	5170	0	18	0	0	2	0	0	102	0	0	0	1	0	0	4	0	0	2	0	0	137	8	0	0	0	0	0	5	0	4
346	354	"Chabada Lake"	61.974448	129.374442	383	"AWI"	383	4461	6232	5283	0	16	1	0	1	0	0	146	2	0	0	2	0	0	3	0	0	0	0	1	84	6	0	0	0	0	0	1	0	2
346	354	"Chabada Lake"	61.974448	129.374442	393	"AWI"	393	4566	6365	5399	0	12	0	0	1	0	0	166	0	0	0	0	0	0	5	0	0	2	0	0	67	4	0	0	0	0	0	0	0	1
346	354	"Chabada Lake"	61.974448	129.374442	403	"AWI"	403	4658	6487	5517	0	0	1	0	4	0	0	68	1	0	0	3	0	1	3	0	0	2	0	9	182	5	0	0	0	0	0	0	0	1
346	354	"Chabada Lake"	61.974448	129.374442	413	"AWI"	413	4763	6610	5628	0	0	0	0	3	0	0	151	0	0	1	7	0	0	13	0	0	0	0	0	0	32	0	0	0	0	0	9	0	6
346	354	"Chabada Lake"	61.974448	129.374442	423	"AWI"	423	4858	6744	5738	0	0	0	0	4	0	0	141	0	0	0	4	0	0	7	0	0	0	0	0	69	15	0	0	0	0	0	3	0	3
346	354	"Chabada Lake"	61.974448	129.374442	433	"AWI"	433	4962	6849	5849	0	0	0	0	1	0	0	66	0	0	0	0	0	0	8	0	0	4	0	10	133	3	0	0	0	0	0	1	0	0
346	354	"Chabada Lake"	61.974448	129.374442	443	"AWI"	443	5076	6961	5964	0	0	0	0	1	0	0	111	0	0	0	1	0	0	6	0	0	4	0	4	102	1	0	0	0	0	0	0	0	1
346	354	"Chabada Lake"	61.974448	129.374442	453	"AWI"	453	5158	7071	6084	0	0	0	0	3	0	0	107	1	0	0	0	0	0	8	0	0	0	0	3	0	2	0	0	0	0	0	1	0	1
346	354	"Chabada Lake"	61.974448	129.374442	463	"AWI"	463	5278	7192	6196	0	0	0	0	2	0	0	58	1	0	0	0	0	0	3	0	0	7	0	5	142	3	0	0	1	0	0	1	0	1
346	354	"Chabada Lake"	61.974448	129.374442	473	"AWI"	473	5373	7326	6309	0	11	0	0	4	0	0	102	0	0	0	2	0	1	6	0	0	5	0	4	122	7	0	0	0	0	0	1	0	4
346	354	"Chabada Lake"	61.974448	129.374442	483	"AWI"	483	5491	7451	6427	0	0	0	0	5	0	0	135	1	0	0	2	0	0	12	0	0	6	0	3	64	4	0	0	0	0	0	4	0	2
346	354	"Chabada Lake"	61.974448	129.374442	493	"AWI"	493	5595	7558	6548	0	0	0	0	5	0	0	155	0	0	0	2	0	0	15	0	0	2	0	3	0	8	0	0	0	0	0	7	0	2
346	354	"Chabada Lake"	61.974448	129.374442	503	"AWI"	503	5687	7682	6668	0	19	0	0	6	0	0	152	0	0	0	2	0	0	16	0	0	5	0	3	29	8	0	0	1	0	0	1	0	2
346	354	"Chabada Lake"	61.974448	129.374442	513	"AWI"	513	5826	7803	6782	0	0	1	0	5	0	0	168	0	0	0	2	0	0	11	0	0	14	0	12	26	8	0	0	0	0	0	8	0	1
346	354	"Chabada Lake"	61.974448	129.374442	523	"AWI"	523	5945	7927	6897	0	33	0	0	8	0	0	187	0	0	0	2	0	0	12	0	0	3	0	7	8	9	0	0	0	0	0	2	0	0
346	354	"Chabada Lake"	61.974448	129.374442	533	"AWI"	533	6047	8032	7017	0	23	0	0	5	0	0	185	0	0	0	3	0	1	16	0	0	8	0	8	9	11	0	0	0	0	0	6	0	4
346	354	"Chabada Lake"	61.974448	129.374442	543	"AWI"	543	6161	8151	7133	0	0	0	0	5	0	0	166	0	0	0	7	0	1	11	0	0	5	0	5	28	3	0	0	0	3	0	12	0	5
346	354	"Chabada Lake"	61.974448	129.374442	553	"AWI"	553	6263	8259	7249	0	20	0	0	5	0	0	180	0	0	0	3	0	0	9	0	0	1	0	2	13	6	0	0	0	0	0	1	0	1
346	354	"Chabada Lake"	61.974448	129.374442	558	"AWI"	558	6320	8312	7307	0	10	0	0	7	0	0	192	0	0	0	4	0	0	6	0	0	3	0	0	0	27	0	0	0	0	0	5	0	5
346	354	"Chabada Lake"	61.974448	129.374442	568	"AWI"	568	6420	8442	7422	0	12	1	0	5	0	0	192	0	0	1	2	0	0	8	0	0	7	0	14	6	10	0	0	0	0	0	5	0	2
346	354	"Chabada Lake"	61.974448	129.374442	573	"AWI"	573	6492	8486	7479	0	0	0	0	14	0	0	155	0	0	0	4	0	0	16	0	0	14	0	8	6	23	0	0	0	0	0	9	0	14
346	354	"Chabada Lake"	61.974448	129.374442	583	"AWI"	583	6583	8608	7600	0	18	1	0	7	0	0	191	0	0	0	1	0	0	10	0	0	2	0	5	0	16	0	0	0	0	0	9	0	2
346	354	"Chabada Lake"	61.974448	129.374442	593	"AWI"	593	6712	8712	7717	2	23	0	0	9	0	0	176	0	0	0	15	0	0	8	0	0	3	0	6	37	19	0	0	0	0	0	12	0	12
346	354	"Chabada Lake"	61.974448	129.374442	598	"AWI"	598	6763	8767	7775	0	15	2	0	11	0	0	179	0	0	0	5	0	1	8	0	0	4	0	3	7	22	0	0	0	0	0	6	0	9
346	354	"Chabada Lake"	61.974448	129.374442	603	"AWI"	603	6830	8827	7835	0	0	0	0	13	0	0	160	0	0	0	4	0	0	13	0	0	3	0	1	0	12	0	0	0	0	1	10	0	12
346	354	"Chabada Lake"	61.974448	129.374442	608	"AWI"	608	6899	8882	7887	0	0	0	0	21	0	0	168	0	0	0	0	0	0	9	0	0	3	0	1	4	0	0	0	0	0	0	0	1	2
346	354	"Chabada Lake"	61.974448	129.374442	618	"AWI"	618	7001	8992	8000	0	8	0	0	11	0	0	204	0	0	0	1	0	0	6	0	0	0	0	9	0	9	0	0	0	0	0	1	0	3
346	354	"Chabada Lake"	61.974448	129.374442	623	"AWI"	623	7068	9041	8059	0	0	0	0	5	0	0	156	0	0	0	0	0	0	10	0	0	2	0	2	0	8	0	0	0	0	0	3	0	1
346	354	"Chabada Lake"	61.974448	129.374442	633	"AWI"	633	7177	9173	8172	0	0	0	0	11	0	0	181	0	0	0	2	0	1	13	1	0	11	0	6	12	9	0	0	0	3	0	1	0	5
346	354	"Chabada Lake"	61.974448	129.374442	643	"AWI"	643	7324	9269	8289	0	12	1	0	4	0	0	107	0	0	0	0	0	0	12	0	0	1	0	6	8	9	0	0	0	0	0	3	0	5
346	354	"Chabada Lake"	61.974448	129.374442	653	"AWI"	653	7437	9379	8403	0	13	2	0	9	0	0	153	0	0	0	7	0	0	15	0	0	7	0	15	0	8	0	0	0	0	0	6	0	1
346	354	"Chabada Lake"	61.974448	129.374442	663	"AWI"	663	7543	9494	8518	0	0	0	0	13	0	0	167	0	1	0	4	0	0	12	0	0	4	0	6	12	18	0	0	0	0	1	4	0	6
346	354	"Chabada Lake"	61.974448	129.374442	673	"AWI"	673	7676	9586	8634	0	0	1	0	14	0	0	190	1	0	0	0	0	0	14	0	0	3	0	0	0	13	0	0	1	0	0	5	0	5
346	354	"Chabada Lake"	61.974448	129.374442	683	"AWI"	683	7800	9705	8750	0	0	1	0	13	0	0	195	0	0	0	1	0	1	12	1	0	3	0	5	0	15	0	0	0	0	0	5	0	2
346	354	"Chabada Lake"	61.974448	129.374442	693	"AWI"	693	7917	9784	8864	0	16	1	0	9	0	0	207	0	0	0	8	0	0	7	0	0	0	0	6	0	55	0	0	0	0	0	9	0	9
346	354	"Chabada Lake"	61.974448	129.374442	703	"AWI"	703	8030	9893	8979	0	0	0	0	4	0	0	181	0	0	1	7	0	0	4	0	0	4	0	3	0	25	2	0	0	0	0	21	0	1
346	354	"Chabada Lake"	61.974448	129.374442	713	"AWI"	713	8147	9991	9099	0	0	0	0	9	0	0	173	0	0	0	4	0	0	10	1	0	1	0	1	0	11	0	0	1	0	0	2	0	3
346	354	"Chabada Lake"	61.974448	129.374442	723	"AWI"	723	8282	10104	9212	1	10	0	0	12	0	0	214	1	0	0	0	0	0	14	0	0	6	0	4	0	10	0	0	0	0	0	7	0	4
346	354	"Chabada Lake"	61.974448	129.374442	733	"AWI"	733	8412	10223	9326	0	20	0	0	13	0	0	172	0	0	0	2	0	0	20	0	0	1	0	2	0	10	0	0	0	0	0	2	0	7
346	354	"Chabada Lake"	61.974448	129.374442	743	"AWI"	743	8527	10324	9443	0	13	0	0	14	0	0	171	0	0	0	9	0	0	10	0	0	0	0	0	0	34	0	0	0	0	0	16	0	3
346	354	"Chabada Lake"	61.974448	129.374442	753	"AWI"	753	8667	10432	9556	0	0	0	0	8	0	0	220	0	0	0	4	0	0	8	0	0	2	0	5	0	16	0	0	0	0	0	4	0	13
346	354	"Chabada Lake"	61.974448	129.374442	763	"AWI"	763	8782	10526	9671	0	19	1	0	21	0	0	183	0	0	0	4	0	0	13	0	0	4	1	4	6	18	0	0	0	0	0	9	0	6
346	354	"Chabada Lake"	61.974448	129.374442	773	"AWI"	773	8943	10630	9783	0	0	0	0	27	0	0	30	0	0	0	1	0	1	3	0	1	2	0	0	0	21	0	0	0	0	0	3	0	1
346	354	"Chabada Lake"	61.974448	129.374442	783	"AWI"	783	9084	10750	9896	0	0	1	0	33	0	0	170	0	0	0	5	1	0	13	0	0	2	0	2	4	47	0	0	0	4	0	8	0	3
346	354	"Chabada Lake"	61.974448	129.374442	793	"AWI"	793	9202	10871	10011	0	12	0	0	19	0	0	178	0	0	0	7	0	0	11	0	0	1	0	2	0	31	0	0	0	0	0	5	0	3
346	354	"Chabada Lake"	61.974448	129.374442	803	"AWI"	803	9345	10977	10122	0	0	1	0	8	0	0	200	0	0	0	1	0	1	11	0	0	0	0	0	0	11	0	0	0	0	0	10	0	4
346	354	"Chabada Lake"	61.974448	129.374442	818	"AWI"	818	9547	11155	10293	0	11	0	0	19	0	0	201	0	0	1	6	0	0	7	0	0	2	0	0	0	8	0	0	0	0	0	3	0	0
346	354	"Chabada Lake"	61.974448	129.374442	828	"AWI"	828	9681	11261	10405	0	0	0	0	15	0	0	230	0	0	0	4	0	0	12	0	0	2	0	0	0	8	0	0	0	0	0	2	0	3
346	354	"Chabada Lake"	61.974448	129.374442	833	"AWI"	833	9764	11322	10458	0	0	0	0	19	0	0	184	0	0	0	3	0	1	14	0	0	3	0	0	0	38	0	0	0	0	1	10	0	1
346	354	"Chabada Lake"	61.974448	129.374442	838	"AWI"	838	9839	11370	10515	0	0	1	0	32	0	0	208	0	0	0	2	0	0	13	0	0	0	0	0	0	8	0	0	0	0	0	14	0	1
346	354	"Chabada Lake"	61.974448	129.374442	843	"AWI"	843	9901	11439	10573	0	0	0	0	6	0	0	190	0	0	0	4	0	0	12	0	0	1	0	0	0	20	0	0	0	0	0	7	0	1
346	354	"Chabada Lake"	61.974448	129.374442	848	"AWI"	848	10000	11493	10625	0	0	1	0	7	0	0	219	0	0	0	0	0	0	6	0	1	0	0	0	0	4	0	0	0	0	0	12	0	3
346	354	"Chabada Lake"	61.974448	129.374442	853	"AWI"	853	10087	11552	10683	0	0	0	0	8	0	0	213	0	0	0	1	0	1	2	0	0	1	0	0	0	11	0	0	0	0	0	10	0	2
346	354	"Chabada Lake"	61.974448	129.374442	858	"AWI"	858	10155	11608	10736	0	6	1	0	33	0	0	214	0	0	0	2	0	0	4	0	0	1	0	0	0	12	0	0	0	0	0	4	0	0
346	354	"Chabada Lake"	61.974448	129.374442	863	"AWI"	863	10256	11666	10790	0	0	1	0	20	0	0	180	0	1	0	6	0	0	13	0	0	2	0	0	0	24	0	0	0	0	0	16	0	2
346	354	"Chabada Lake"	61.974448	129.374442	868	"AWI"	868	10365	11703	10843	0	9	5	0	44	0	0	200	0	1	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	4	0	1
346	354	"Chabada Lake"	61.974448	129.374442	873	"AWI"	873	10431	11763	10899	0	0	0	0	33	0	0	203	0	0	0	1	0	0	9	0	0	1	0	0	0	5	0	0	0	0	0	4	0	1
346	354	"Chabada Lake"	61.974448	129.374442	878	"AWI"	878	10528	11839	10951	0	12	0	0	35	0	0	203	0	0	0	5	0	0	9	0	0	0	0	0	0	37	0	0	0	0	0	2	0	3
346	354	"Chabada Lake"	61.974448	129.374442	883	"AWI"	883	10653	11893	11009	0	0	1	0	32	0	0	188	0	0	0	1	0	0	8	0	0	0	0	0	0	9	0	0	1	0	0	3	0	0
346	354	"Chabada Lake"	61.974448	129.374442	888	"AWI"	888	10743	11944	11069	0	0	8	0	129	0	0	182	0	0	0	15	0	0	9	0	0	7	0	3	0	31	0	0	0	0	0	45	0	7
346	354	"Chabada Lake"	61.974448	129.374442	893	"AWI"	893	10834	12001	11150	0	33	9	0	164	0	0	167	0	2	0	0	0	0	13	0	0	3	1	1	0	170	0	0	1	0	0	15	0	3
346	354	"Chabada Lake"	61.974448	129.374442	898	"AWI"	898	10920	12115	11289	0	0	10	0	98	0	0	206	1	0	0	0	0	0	10	0	0	6	0	1	0	14	0	0	0	0	0	39	0	12
346	354	"Chabada Lake"	61.974448	129.374442	908	"AWI"	908	11009	12574	11585	0	0	1	0	106	0	0	220	0	0	0	8	0	0	16	0	0	3	0	0	0	7	0	0	0	0	0	8	0	2
346	354	"Chabada Lake"	61.974448	129.374442	913	"AWI"	913	11152	12664	11763	0	0	15	0	111	0	0	162	0	0	4	3	0	0	11	0	0	2	0	0	0	4	0	0	4	0	0	3	0	6
346	354	"Chabada Lake"	61.974448	129.374442	918	"AWI"	918	11249	12774	11952	0	0	25	0	360	0	0	180	0	0	8	24	0	0	17	0	1	6	0	0	0	12	0	1	0	0	1	9	0	9
346	354	"Chabada Lake"	61.974448	129.374442	923	"AWI"	923	11317	12935	12127	0	0	13	0	165	0	2	173	1	0	1	3	0	0	16	0	0	2	0	0	5	32	0	0	0	2	1	2	0	10
346	354	"Chabada Lake"	61.974448	129.374442	928	"AWI"	928	11481	13044	12292	0	0	11	0	155	0	0	131	0	1	6	8	0	0	5	1	0	3	0	4	0	27	0	0	5	0	0	4	0	7
346	354	"Chabada Lake"	61.974448	129.374442	933	"AWI"	933	11608	13111	12473	0	0	10	0	210	0	0	192	0	0	2	4	2	0	15	0	0	2	0	2	3	44	0	0	0	0	0	3	0	15
346	354	"Chabada Lake"	61.974448	129.374442	938	"AWI"	938	11682	13222	12656	1	0	14	0	178	0	0	180	1	0	6	17	0	0	8	1	0	3	0	5	0	18	0	0	0	0	0	6	0	6
346	354	"Chabada Lake"	61.974448	129.374442	943	"AWI"	943	11876	13327	12815	0	0	15	0	108	0	0	134	0	0	6	0	0	0	6	0	0	0	0	0	0	13	0	0	0	0	0	3	0	2
346	354	"Chabada Lake"	61.974448	129.374442	948	"AWI"	948	12167	13371	12958	0	0	4	0	194	0	0	220	0	0	0	5	0	0	11	1	0	4	0	0	0	6	0	0	0	0	0	4	0	1
346	354	"Chabada Lake"	61.974448	129.374442	953	"AWI"	953	12300	13450	13110	0	0	4	0	209	0	0	178	0	0	2	0	0	1	15	0	0	0	1	0	0	11	0	0	0	0	1	1	0	7
346	354	"Chabada Lake"	61.974448	129.374442	958	"AWI"	958	12431	13560	13256	0	0	1	0	132	0	0	173	0	0	0	2	0	1	11	0	0	1	0	0	0	27	0	0	8	0	1	15	0	6
346	354	"Chabada Lake"	61.974448	129.374442	963	"AWI"	963	12498	13638	13338	0	0	14	2	182	0	0	157	2	0	1	3	0	1	15	0	0	0	0	0	0	17	0	0	0	0	0	5	0	12
346	354	"Chabada Lake"	61.974448	129.374442	968	"AWI"	968	12560	13793	13409	0	0	27	0	106	0	0	198	0	0	4	18	0	0	8	0	0	1	0	1	0	13	0	0	1	0	0	2	0	5
346	354	"Chabada Lake"	61.974448	129.374442	973	"AWI"	973	12627	13996	13473	0	0	17	0	57	0	0	181	0	0	0	1	0	1	10	0	0	0	0	0	0	16	0	0	1	0	0	1	0	0
