"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Dacrydium"	"Ericales"	"Fabaceae"	"Fagus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Montiaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
1581	1628	"Lesnoye Lake"	59.58333	151.86667	220	"AWI"	220	8208	8903	8441	1	1	0	1	0	8	0	0	0	0	0	0	0	0	0	2	0	83	0	60	0	0	0	0	0	3	0	0	4	1	0	0	0	0	0	1	0	0	0	366	0	11	0	0	0	0	0	0	7	1	0	0	0	4	0	0	0	0	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	225	"AWI"	225	9054	9585	9421	0	1	185	0	1	3	0	317	0	0	0	0	0	0	0	0	0	33	0	115	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	3	0	0	0	12	1	0	3	0	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	230	"AWI"	230	9349	10416	9764	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	16	0	51	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3	1	0	0	0	2	2	1	0	0	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	240	"AWI"	240	10007	11072	10631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	190	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	35	0	0	0	0	2	0	3	0	0	0	0	2	1	1	4	0	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	252	"AWI"	252	11104	12833	11718	8	0	0	2	0	5	0	0	0	0	0	1	1	0	0	1	0	48	0	102	0	0	0	0	0	4	4	0	1	1	0	0	0	1	0	0	1	0	81	249	0	171	1	0	0	0	2	1	12	5	0	0	0	2	0	4	0	25	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	263	"AWI"	263	11875	14470	12994	14	0	0	0	0	3	0	133	0	0	0	10	0	0	0	0	0	26	0	76	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	118	202	0	327	0	0	0	0	0	0	16	0	0	0	0	6	2	0	7	19	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	273	"AWI"	273	12774	15640	14190	7	0	0	2	0	6	0	0	0	0	0	21	0	0	0	4	0	47	0	60	0	0	0	0	1	4	3	0	1	0	0	0	0	1	0	1	2	0	107	221	0	244	1	0	0	0	2	0	17	3	0	1	0	18	0	5	6	38	1	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	285	"AWI"	285	14097	16720	15616	9	0	0	1	0	9	0	81	29	0	0	25	1	0	0	1	0	92	0	16	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	44	59	0	733	0	0	0	0	6	0	30	0	0	0	0	49	8	0	13	9	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	292	"AWI"	292	15194	17164	16410	5	1	0	1	3	11	9	0	0	0	0	10	0	0	0	2	0	90	0	46	0	0	0	0	0	6	2	0	1	0	0	0	0	2	0	0	1	0	63	145	0	367	1	0	0	0	2	0	22	2	0	0	0	21	2	5	4	9	1	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	304	"AWI"	304	17110	18089	17490	21	0	0	1	4	14	0	168	24	0	0	11	1	0	0	10	0	46	0	31	0	0	0	0	0	9	2	0	0	0	0	0	0	1	0	0	4	0	78	146	0	360	0	0	0	0	3	1	30	0	0	0	0	24	5	0	4	19	1	0	1	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	315	"AWI"	315	17465	19340	18163	0	0	0	2	8	13	0	0	0	1	0	11	0	0	0	4	0	108	0	40	0	0	0	0	1	12	1	1	0	1	0	0	0	0	0	1	1	0	49	76	0	578	0	0	0	0	5	0	25	2	0	0	0	22	3	6	2	15	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	325	"AWI"	325	17864	20172	18788	10	0	26	5	2	10	0	31	34	0	0	16	0	0	0	4	0	100	1	23	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	34	56	0	791	0	0	0	0	2	0	27	0	0	0	0	25	0	7	0	0	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	331	"AWI"	331	18124	20656	19166	4	1	0	0	2	8	0	0	0	0	0	8	0	1	0	3	0	85	0	25	0	0	0	0	0	13	5	0	1	1	0	0	0	1	0	1	0	0	30	70	0	538	0	0	0	0	3	1	15	1	0	0	0	30	4	3	3	7	1	0	0	1
1581	1628	"Lesnoye Lake"	59.58333	151.86667	335	"AWI"	335	18285	20960	19403	19	2	0	0	0	11	5	206	0	0	0	8	2	0	0	11	0	48	0	76	0	1	1	0	2	3	4	0	4	1	0	0	0	1	0	0	0	0	129	240	0	339	0	0	0	0	0	1	16	4	0	0	0	15	0	2	4	40	3	0	1	1
