"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Viburnum"
513	527	"Crowsnest Lake"	68.33333	-146.48333	250	"AWI"	250	5538	7525	6669	0	0	4	0	159	0	0	0	49	0	0	0	0	1	0	0	0	0	81	0	0	16	0	0	0	0	0	1	8	0	1	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	260	"AWI"	260	5775	7760	6922	0	1	0	0	153	0	0	0	68	1	0	0	1	0	0	0	0	0	57	1	0	6	0	0	1	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	270	"AWI"	270	5985	7961	7107	0	1	6	0	196	0	1	0	90	1	0	1	0	0	0	0	0	0	69	0	0	26	0	0	0	0	0	0	12	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	275	"AWI"	275	6078	8098	7201	0	0	1	0	114	0	2	0	99	0	0	0	3	0	0	0	0	0	32	0	0	14	0	0	0	0	0	0	9	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	280	"AWI"	280	6152	8256	7293	0	0	11	0	163	0	1	0	128	3	0	0	0	3	2	0	0	0	50	0	0	13	0	0	1	0	0	0	4	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	290	"AWI"	290	6332	8442	7475	0	0	10	0	158	0	0	0	56	4	0	0	4	0	0	0	0	0	39	0	0	21	0	0	1	0	0	0	5	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	301	"AWI"	301	6477	8681	7683	0	0	11	0	155	0	4	0	76	1	0	0	3	1	0	1	0	0	51	0	0	19	0	0	0	0	0	0	4	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	310	"AWI"	310	6690	8833	7853	0	1	9	0	207	0	1	0	108	1	0	0	0	0	0	0	0	0	40	0	0	15	0	0	0	0	0	0	6	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	320	"AWI"	320	6876	9017	8044	0	0	7	0	55	0	0	0	55	4	0	0	5	0	0	1	0	0	30	0	0	15	0	0	2	0	0	0	3	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	330	"AWI"	330	7059	9202	8228	0	1	4	6	73	0	1	0	81	12	0	1	12	1	0	5	0	0	62	0	2	27	0	0	0	0	0	0	7	0	0	0
