"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Myrica"	"Onagraceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	200	"AWI"	200	6221	7698	7020	0	72	2	3	0	41	0	0	2	0	2	1	1	1	0	0	26	0	0	120	43	0	0	0	3	1	0	0	3	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	220	"AWI"	220	6786	8085	7522	0	51	0	0	0	47	0	0	0	0	0	1	0	5	0	0	32	0	0	98	13	0	0	0	1	0	0	0	15	0	3
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	240	"AWI"	240	7435	8397	8013	0	20	0	0	0	60	0	0	1	0	0	0	0	3	0	0	3	0	0	175	7	0	0	0	0	0	0	0	4	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	260	"AWI"	260	8124	9085	8508	0	22	0	1	0	27	0	0	0	2	0	0	0	3	0	0	0	0	0	201	0	0	0	0	0	0	0	0	8	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	280	"AWI"	280	8586	9661	9137	0	0	0	2	0	104	0	1	1	9	2	0	1	1	0	0	5	1	0	110	0	0	0	0	16	0	0	0	6	0	2
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	300	"AWI"	300	9428	10108	9712	0	0	0	1	2	56	1	0	2	8	0	1	0	3	0	0	0	0	0	107	0	0	6	0	3	0	0	0	5	0	2
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	320	"AWI"	320	9720	10632	10140	0	0	0	1	0	51	0	0	0	15	5	0	0	3	0	0	0	0	0	137	0	0	1	0	8	1	0	0	6	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	340	"AWI"	340	10117	11009	10546	0	0	0	0	0	102	0	0	0	13	0	0	0	2	0	0	2	0	0	51	0	0	0	0	13	0	0	0	12	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	360	"AWI"	360	10577	11510	11065	0	0	0	6	2	110	0	0	0	21	2	0	0	3	0	0	0	0	0	75	0	0	2	1	12	0	0	1	7	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	370	"AWI"	370	10835	11749	11313	0	0	0	7	3	69	0	0	0	148	2	1	1	1	1	0	0	0	0	0	0	0	7	0	16	1	0	0	39	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	380	"AWI"	380	11023	12167	11558	0	0	3	11	0	111	0	0	0	20	2	0	0	1	1	0	0	0	0	3	0	0	11	0	96	0	0	0	52	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	400	"AWI"	400	11380	12952	12048	0	0	29	101	4	99	0	0	0	5	0	0	3	7	0	0	0	0	1	3	1	7	26	0	2	0	0	0	23	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	420	"AWI"	420	11707	13617	12541	0	0	8	24	0	1	1	0	0	8	0	0	0	7	0	0	0	0	0	1	0	0	26	0	0	0	0	0	7	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	440	"AWI"	440	12081	14317	13034	0	0	12	41	0	1	2	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	180	0	0	0	0	0	1	0	0
