"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Juniperus"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"
1542	1582	"Lake 31"	67.05	-50.46667	42	"AWI"	42	2617	3092	2862	0.194552529182879	0	2.14007782101167	0.194552529182879	59.3385214007782	0	0.583657587548638	0.778210116731518	0	9.92217898832685	1.94552529182879	0	0.194552529182879	0.194552529182879	0	0	14.7859922178988	0	0.972762645914397	0	0	0.389105058365759	8.17120622568093	0.194552529182879
1542	1582	"Lake 31"	67.05	-50.46667	45	"AWI"	45	2769	3361	3050	0.419287211740042	0	1.88679245283019	0	49.475890985325	0	0.209643605870021	0	0	8.38574423480084	1.25786163522013	0	0.628930817610063	0	0	0.209643605870021	24.7379454926625	0	0.419287211740042	0	0	0.628930817610063	11.3207547169811	0.419287211740042
1542	1582	"Lake 31"	67.05	-50.46667	48	"AWI"	48	2939	3580	3240	0.970873786407767	0.242718446601942	1.45631067961165	0	54.3689320388349	0	0.728155339805825	0	0	10.1941747572816	1.94174757281553	0.242718446601942	0	0.242718446601942	0.242718446601942	0	16.9902912621359	0	0	0	0	0.728155339805825	11.6504854368932	0
1542	1582	"Lake 31"	67.05	-50.46667	51	"AWI"	51	3093	3782	3432	0.669642857142857	0	1.33928571428571	0	45.3125	0	0	0	0	14.5089285714286	2.67857142857143	0	0	0	0	0	22.0982142857143	0	0	0	0	0.223214285714286	12.9464285714286	0.223214285714286
1542	1582	"Lake 31"	67.05	-50.46667	54	"AWI"	54	3277	3954	3627	0.72289156626506	0.240963855421687	2.16867469879518	0	61.6867469879518	0	0	0	0	12.7710843373494	1.92771084337349	0.481927710843374	0.240963855421687	0.240963855421687	0	0	10.6024096385542	0	0.481927710843374	0	0.240963855421687	0.481927710843374	7.2289156626506	0.481927710843374
1542	1582	"Lake 31"	67.05	-50.46667	57	"AWI"	57	3483	4128	3824	0.896860986547085	0	1.79372197309417	0	60.5381165919283	0	0.896860986547085	0	0.224215246636771	13.6771300448431	0.672645739910314	0.672645739910314	0.224215246636771	0	0	0	12.3318385650224	0	0	0	0	2.01793721973094	5.82959641255605	0.224215246636771
1542	1582	"Lake 31"	67.05	-50.46667	60	"AWI"	60	3695	4281	4018	0.206185567010309	0	2.47422680412371	0	54.8453608247423	0.206185567010309	0.618556701030928	0	0	17.1134020618557	1.44329896907216	0	0.206185567010309	0	0	0	14.4329896907216	0	0.824742268041237	0	0	1.03092783505155	6.39175257731959	0.206185567010309
1542	1582	"Lake 31"	67.05	-50.46667	63	"AWI"	63	3928	4420	4206	0.352112676056338	0	2.11267605633803	0	52.4647887323944	0.176056338028169	0.176056338028169	0	0	19.0140845070423	2.64084507042254	0.528169014084507	0.528169014084507	0.176056338028169	0	0	11.6197183098592	0	0	0	0	1.05633802816901	8.97887323943662	0.176056338028169
1542	1582	"Lake 31"	67.05	-50.46667	64.5	"AWI"	64.5	4060	4487	4297.5	1.0482180293501	0	2.09643605870021	0	55.3459119496855	0	0	0	0	14.4654088050314	2.93501048218029	0	0	0	0.209643605870021	0	13.2075471698113	0	0	0	0	0.628930817610063	9.85324947589099	0.209643605870021
1542	1582	"Lake 31"	67.05	-50.46667	66.5	"AWI"	66.5	4199	4612.5	4413	0.759493670886076	0	2.53164556962025	0	50.126582278481	0	0.253164556962025	0	0	17.2151898734177	3.29113924050633	0	0	0	0	0	14.1772151898734	0	0	0	0	1.0126582278481	10.126582278481	0.506329113924051
1542	1582	"Lake 31"	67.05	-50.46667	68	"AWI"	68	4268	4726	4493	0.538599640933573	0	2.33393177737881	0	46.4991023339318	0	0.179533213644524	0	0	15.6193895870736	2.87253141831239	0	0	0.359066427289048	0	0	17.2351885098743	0	0.179533213644524	0	0	0.538599640933573	12.9263913824057	0.718132854578097
1542	1582	"Lake 31"	67.05	-50.46667	71	"AWI"	71	4399	4929	4656	1.0958904109589	0	1.64383561643836	0	49.7260273972603	0	0	0	0.136986301369863	15.6164383561644	1.91780821917808	0	0.136986301369863	0.136986301369863	0.136986301369863	0.136986301369863	16.027397260274	0	0	0	0	1.0958904109589	10.958904109589	1.23287671232877
1542	1582	"Lake 31"	67.05	-50.46667	75	"AWI"	75	4591	5174	4874	0	0	1.12044817927171	0	47.6190476190476	0	0	0	0	25.7703081232493	2.52100840336134	0.280112044817927	0	0	0	0	13.4453781512605	0	0	0	0	0.840336134453782	7.56302521008403	0.840336134453782
1542	1582	"Lake 31"	67.05	-50.46667	78.5	"AWI"	78.5	4770	5359.5	5068.5	0.992555831265509	0	2.48138957816377	0	50.6203473945409	0	0.496277915632754	0	0	21.8362282878412	1.73697270471464	0	0	0	0.248138957816377	0	11.166253101737	0	0.248138957816377	0	0	0.992555831265509	8.43672456575682	0.744416873449132
1542	1582	"Lake 31"	67.05	-50.46667	82.5	"AWI"	82.5	4991.5	5561	5290	0.828729281767956	0	2.76243093922652	0	52.7624309392265	0	0	0	0	24.8618784530387	2.76243093922652	0	0	0.276243093922652	0	0.276243093922652	9.11602209944751	0	0	0	0	0.552486187845304	4.69613259668508	1.10497237569061
1542	1582	"Lake 31"	67.05	-50.46667	87.5	"AWI"	87.5	5301.5	5783.5	5561.5	0.26525198938992	0	2.38726790450928	0	47.4801061007958	0	0	0	0	32.3607427055703	2.6525198938992	0.26525198938992	0	0.26525198938992	0	0	8.75331564986737	0	0.26525198938992	0	0	0.795755968169761	3.44827586206897	1.06100795755968
1542	1582	"Lake 31"	67.05	-50.46667	91.5	"AWI"	91.5	5630	5927	5779	0.254452926208651	0	4.32569974554707	0	50.6361323155216	0	0.254452926208651	0	0	30.2798982188295	2.03562340966921	0	0	0	0	0	8.14249363867684	0	0	0	0	0.763358778625954	2.79898218829517	0.508905852417303
