"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Thalictrum"	"Tsuga"
336	343	"Carp Lake"	45.91806	-120.88056	298	"AWI"	298	8621	9823	9142	0	0	4	0	2	5	0	0	0	0	0	0	0	0	3	0	0	0	0	11	0	4	0	0	1	0	1	12	0	0	0	3	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	308	"AWI"	308	9123	10270	9518	0	0	0	52	0	114	0	0	0	0	0	0	1	0	2	0	0	0	0	37	0	2	0	0	12	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	310	"AWI"	310	9158	10415	9585	1	0	13	32	4	246	0	0	3	1	1	0	0	0	3	0	0	0	0	21	0	0	1	0	6	0	0	63	0	0	0	0	0	0	0	0	6	0	0	2	0
336	343	"Carp Lake"	45.91806	-120.88056	320	"AWI"	320	9674	11760	10621	0	0	0	54	2	74	0	0	0	3	0	0	0	0	14	0	0	0	0	59	0	1	0	1	14	0	0	73	0	0	0	0	0	0	0	0	1	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	328	"AWI"	328	10013	12801	11273	3	0	0	2	0	109	0	0	0	2	0	0	0	0	8	1	0	0	0	4	0	0	0	0	22	69	1	118	0	0	0	0	0	0	0	0	3	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	351	"AWI"	351	11142	15581	13016	3	0	0	0	0	65	0	0	0	0	0	0	0	0	18	0	0	0	0	3	0	0	0	0	22	0	0	84	2	0	0	0	0	0	0	0	1	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	361	"AWI"	361	11683	16221	13763	2	0	5	8	8	102	0	0	0	1	4	0	0	0	13	1	0	0	0	3	2	1	0	1	13	45	0	91	2	0	0	1	1	0	1	0	0	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	371	"AWI"	371	12404	16883	14513	2	0	5	2	3	58	0	0	0	0	2	0	0	0	7	3	0	0	0	4	0	2	1	0	17	26	0	57	1	0	0	0	1	0	0	0	0	0	1	1	0
336	343	"Carp Lake"	45.91806	-120.88056	381	"AWI"	381	13074	17500	15298	7	0	3	2	0	88	0	0	0	0	2	0	0	0	14	0	0	0	0	3	0	2	0	0	13	0	0	80	2	0	0	0	0	0	0	0	2	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	391	"AWI"	391	13847	18226	16052	0	0	0	2	0	136	0	0	0	0	3	0	0	0	19	0	0	0	0	6	0	1	0	0	36	32	1	130	1	0	0	0	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	401	"AWI"	401	14657	18757	16823	1	0	0	2	4	102	0	0	0	0	2	0	0	0	7	0	0	0	2	6	2	1	0	0	9	40	0	131	0	0	0	0	0	0	1	0	1	0	0	1	2
336	343	"Carp Lake"	45.91806	-120.88056	411	"AWI"	411	15440	19202	17557	1	0	4	0	0	173	0	0	2	1	1	0	0	0	7	0	0	0	0	5	0	0	0	0	14	28	0	123	0	0	0	0	0	0	0	1	3	0	1	2	0
336	343	"Carp Lake"	45.91806	-120.88056	421	"AWI"	421	16618	19638	18300	4	0	0	0	1	146	0	0	0	0	1	0	0	0	10	0	0	0	0	2	0	1	0	0	19	31	0	115	1	0	0	0	1	0	0	1	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	441	"AWI"	441	18638	20765	19691	7	0	0	0	0	153	0	1	0	0	2	0	0	0	4	0	0	0	0	2	1	3	1	0	9	19	1	89	1	0	0	0	2	0	0	0	1	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	461	"AWI"	461	19660	21655	20777	7	0	0	1	0	99	0	0	0	1	0	0	0	0	4	1	1	0	0	2	0	1	0	0	5	0	0	142	0	0	0	1	1	0	1	0	0	0	1	0	0
336	343	"Carp Lake"	45.91806	-120.88056	468	"AWI"	468	20137	21951	21154	6	0	0	0	0	96	0	0	0	1	1	0	0	0	9	0	0	0	0	4	0	2	0	0	8	0	0	215	0	0	0	1	0	0	1	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	478	"AWI"	478	20811	22237	21734	2	0	0	5	0	169	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	3	0	0	5	28	0	108	2	0	0	0	0	0	0	0	1	0	0	2	0
336	343	"Carp Lake"	45.91806	-120.88056	488	"AWI"	488	21802	22760	22314	2	0	0	5	2	183	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	8	42	0	111	1	0	0	0	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	498	"AWI"	498	22193	23680	22875	2	0	0	5	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	70	0	0	0	2	0	0	0	1	1	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	508	"AWI"	508	22522	24427	23373	4	0	0	0	1	164	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	13	71	0	80	0	0	0	0	0	0	1	0	1	0	1	0	0
336	343	"Carp Lake"	45.91806	-120.88056	518	"AWI"	518	22801	24879	23882	3	1	5	0	1	152	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	1	0	0	14	29	0	113	2	0	0	0	0	0	2	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	528	"AWI"	528	23124	25120	24137	3	0	0	1	2	169	0	0	1	2	0	0	0	0	4	0	0	0	0	3	0	0	0	0	13	40	1	98	1	0	0	1	0	0	2	0	0	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	538	"AWI"	538	23438	25363	24402	4	0	0	0	1	193	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	1	12	75	3	120	0	0	0	0	0	0	0	0	2	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	559	"AWI"	559	24056	25829	24921	2	0	2	0	3	234	0	0	1	2	0	0	0	0	5	0	0	0	0	2	0	1	0	0	11	0	0	158	1	0	0	1	1	0	1	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	568	"AWI"	568	24234	26104	25102	4	0	0	0	1	182	0	0	1	1	0	0	0	0	31	0	0	1	0	0	0	0	0	1	8	55	1	101	1	0	0	0	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	578	"AWI"	578	24447	26352	25310	1	0	0	2	0	177	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	12	61	0	96	1	0	0	1	0	0	1	0	1	0	1	0	0
336	343	"Carp Lake"	45.91806	-120.88056	588	"AWI"	588	24669	26602	25497	1	0	0	3	2	181	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	1	0	0	9	39	0	110	0	0	0	0	0	0	2	0	2	0	2	1	0
336	343	"Carp Lake"	45.91806	-120.88056	598	"AWI"	598	24886	26847	25695	2	0	0	0	3	174	0	0	0	1	0	0	0	0	4	0	0	0	0	4	0	0	1	1	5	24	0	104	1	0	0	0	0	0	1	0	4	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	608	"AWI"	608	25129	27122	25911	1	0	0	1	1	172	0	0	0	2	0	0	0	0	3	0	0	0	0	2	2	0	0	0	1	0	0	115	1	0	0	0	0	0	2	0	3	1	1	0	0
336	343	"Carp Lake"	45.91806	-120.88056	618	"AWI"	618	25364	27610	26250	3	0	0	0	0	189	0	0	1	0	0	0	0	0	14	0	0	0	0	2	0	0	0	0	11	53	0	91	0	0	0	2	0	0	0	0	0	0	2	1	0
336	343	"Carp Lake"	45.91806	-120.88056	628	"AWI"	628	25611	27976	26595	2	0	0	1	0	185	0	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	1	7	88	0	78	0	0	0	0	0	0	0	0	2	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	638	"AWI"	638	25887	28355	26939	1	0	0	2	0	171	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	7	68	0	93	0	0	0	0	0	0	0	0	2	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	643	"AWI"	643	25980	28566	27120	5	0	6	1	2	164	0	0	0	1	0	0	0	0	78	1	0	0	0	3	0	0	0	0	11	206	0	47	0	0	0	2	0	0	0	0	0	0	0	0	3
336	343	"Carp Lake"	45.91806	-120.88056	648	"AWI"	648	26134	28768	27313	2	0	0	2	0	155	0	0	1	0	1	1	0	0	18	0	0	0	0	4	0	1	0	0	10	58	0	97	3	0	0	0	0	0	0	2	1	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	658	"AWI"	658	26457	29216	27749	5	0	2	2	0	197	0	0	3	0	3	0	0	0	12	0	0	0	0	3	0	0	1	0	19	99	0	63	1	0	0	0	0	0	0	2	1	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	678	"AWI"	678	27548	30046	28924	4	1	2	2	4	138	0	0	3	0	2	0	0	0	13	0	0	1	0	13	0	0	0	0	12	96	0	67	0	0	0	0	0	0	0	2	2	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	683	"AWI"	683	27773	30283	29241	1	0	5	0	0	174	0	0	0	0	1	0	0	0	5	0	0	0	0	5	0	0	0	0	4	123	0	94	3	0	0	1	0	0	0	3	2	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	688	"AWI"	688	28260	30469	29521	4	0	2	0	1	180	0	0	1	0	3	0	0	0	34	0	0	1	0	6	0	0	0	0	4	65	0	50	0	0	0	4	1	0	0	2	2	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	693	"AWI"	693	28726	30583	29800	2	0	0	0	1	137	0	0	0	0	2	0	0	0	32	0	1	0	0	3	2	1	0	0	9	0	0	54	0	0	0	2	1	0	0	1	3	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	699	"AWI"	699	29223	30827	30141	3	0	0	3	0	148	0	0	1	0	2	0	0	0	12	0	0	0	0	4	0	1	0	0	14	114	0	58	0	0	0	0	1	0	0	1	0	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	703	"AWI"	703	29838	30941	30400	7	0	0	1	0	145	0	0	0	2	2	0	0	0	27	0	0	0	0	0	0	0	0	0	6	92	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	708	"AWI"	708	30151	31396	30745	4	0	0	0	0	138	0	0	0	0	0	0	0	0	28	0	0	1	0	0	0	1	0	0	17	88	0	44	2	0	0	2	1	0	0	0	0	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	713	"AWI"	713	30383	32069	31128	0	0	3	5	1	168	0	0	1	0	1	0	0	0	17	0	0	0	0	0	0	0	0	1	10	84	0	73	0	0	0	3	0	0	0	2	1	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	718	"AWI"	718	30547	32893	31553	4	0	0	3	1	134	0	0	1	1	1	0	0	0	101	0	0	0	0	4	0	0	0	0	14	133	0	46	1	0	0	2	0	0	0	0	2	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	724	"AWI"	724	30740	34092	32021	14	0	0	1	1	132	0	0	0	1	2	0	0	0	91	0	0	0	0	0	0	0	0	0	16	123	0	62	0	0	0	1	1	0	0	0	0	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	728	"AWI"	728	31017	34377	32411	2	0	0	0	1	142	0	0	0	0	3	0	0	1	129	0	0	0	0	1	0	0	0	0	12	125	0	54	0	0	0	3	1	0	0	5	2	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	733	"AWI"	733	31243	34918	32873	4	0	2	3	0	130	0	0	0	0	2	0	0	0	113	0	0	0	0	2	0	0	0	0	2	132	0	46	0	0	0	1	4	0	0	0	3	0	0	1	0
336	343	"Carp Lake"	45.91806	-120.88056	738	"AWI"	738	31578	35551	33292	3	0	0	0	1	145	0	0	1	0	1	0	0	0	130	0	0	0	0	1	0	0	0	0	13	136	0	42	0	0	0	1	1	0	0	0	5	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	758	"AWI"	758	33122	36913	35159	2	0	0	2	4	120	0	0	2	0	0	0	0	0	57	0	0	0	0	3	0	0	0	0	16	252	0	57	1	0	0	3	0	0	0	1	1	0	0	0	1
336	343	"Carp Lake"	45.91806	-120.88056	763	"AWI"	763	33524	37400	35618	4	0	0	0	2	144	0	0	1	1	1	0	0	0	76	0	0	0	0	4	0	3	0	1	24	221	0	76	0	0	0	2	1	0	1	0	1	0	0	0	0
336	343	"Carp Lake"	45.91806	-120.88056	768	"AWI"	768	34324	37595	36032	2	0	0	2	1	158	0	1	1	3	1	0	0	0	36	0	0	0	0	2	0	2	1	0	12	112	0	36	5	0	0	3	1	0	0	0	1	0	0	1	0
