"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liquidambar"	"Magnolia"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
971	1002	"Hams Lake"	43.23667	-80.41333	928	"AWI"	928	939	1457	1194	0	9.70970970970971	0	0	0	0.4004004004004	0	0	5.20520520520521	0	5.70570570570571	0	0.2002002002002	0	0	0	0.1001001001001	1.1011011011011	0	0	0	25.1251251251251	5.30530530530531	0	0.1001001001001	0	0.2002002002002	0	3.3033033033033	0	0	0	0	6.90690690690691	0	3.5035035035035	0	1.1011011011011	0.2002002002002	0.700700700700701	17.4174174174174	0	0	0	0.1001001001001	0	0	0.1001001001001	1.3013013013013	2.2022022022022	10.01001001001	0
971	1002	"Hams Lake"	43.23667	-80.41333	938	"AWI"	938	1189	1635	1384	0	8.43060959792477	0	0	0	0	0	0	6.87418936446174	0.12970168612192	4.02075226977951	0	0.259403372243839	0	0	0	0	1.68612191958495	0	0	0	24.7730220492866	6.09597924773022	0	0	0	1.03761348897536	0	1.55642023346304	0	0	0	0	4.79896238651103	0	5.9662775616083	0	0.648508430609598	0.648508430609598	0.389105058365759	19.5849546044099	0	0	0	0.12970168612192	0	0	0.12970168612192	0.778210116731518	2.33463035019455	9.72762645914397	0
971	1002	"Hams Lake"	43.23667	-80.41333	946	"AWI"	946	1305	1946	1586	0	7.39260739260739	0	0.1998001998002	0	0.2997002997003	0	0	4.995004995005	0	2.4975024975025	0	0.3996003996004	0	0	0	0.0999000999000999	1.1988011988012	0	0	0	26.4735264735265	4.69530469530469	0	0.2997002997003	0.999000999000999	0.4995004995005	0	1.5984015984016	0.0999000999000999	0	0	0	4.995004995005	0.0999000999000999	5.99400599400599	0	1.1988011988012	0.1998001998002	0.1998001998002	20.979020979021	0.1998001998002	0	0	0.3996003996004	0	0	0	1.6983016983017	1.7982017982018	10.4895104895105	0
971	1002	"Hams Lake"	43.23667	-80.41333	954	"AWI"	954	1373	2423	1761	0	8.57438016528926	0	0.103305785123967	0	0.206611570247934	0	0	4.75206611570248	0	2.27272727272727	0	0.309917355371901	0.103305785123967	0	0	0.103305785123967	1.75619834710744	0	0	0	22.6239669421488	6.09504132231405	0	0	0	0.516528925619835	0	1.03305785123967	0	0	0	0	4.75206611570248	0.103305785123967	6.09504132231405	0	1.44628099173554	0	0.103305785123967	23.5537190082645	0	0	0	0	0	0	0	1.03305785123967	2.37603305785124	12.0867768595041	0
971	1002	"Hams Lake"	43.23667	-80.41333	962	"AWI"	962	1569	2528	1970	0	7.31021555763824	0	0	0	0.0937207122774133	0	0	5.06091846298032	0.0937207122774133	3.93626991565136	0	0	0	0	0	0	1.31208997188379	0	0	0	20.2436738519213	6.27928772258669	0	0.187441424554827	0	0.187441424554827	0	0.0937207122774133	0.0937207122774133	0	0	0	5.52952202436739	0	4.77975632614808	0	1.12464854732896	0	0.56232427366448	29.70946579194	0	0	0	0	0	0	0.0937207122774133	1.21836925960637	1.59325210871603	10.4967197750703	0
971	1002	"Hams Lake"	43.23667	-80.41333	970	"AWI"	970	1674	2640	2203	0	10.482180293501	0	0.314465408805031	0	0.419287211740042	0	0	7.23270440251572	0	3.66876310272537	0	0.209643605870021	0.209643605870021	0	0	0.10482180293501	1.0482180293501	0	0	0	24.4234800838574	7.75681341719078	0	0	0	0.209643605870021	0	1.46750524109015	0	0	0	0	5.9748427672956	0.209643605870021	4.08805031446541	0	2.09643605870021	0.10482180293501	0.209643605870021	25.2620545073375	0	0	0	0.524109014675052	0	0	0	2.09643605870021	1.57232704402516	0.314465408805031	0
971	1002	"Hams Lake"	43.23667	-80.41333	978	"AWI"	978	1833	2809	2401	0	8.81763527054108	0	0	0	0	0	0	3.70741482965932	0	3.90781563126252	0	0.100200400801603	0.100200400801603	0	0	0	1.10220440881764	0	0	0.100200400801603	30.2605210420842	7.71543086172345	0	0.400801603206413	0.701402805611222	1.00200400801603	0	1.00200400801603	0.200400801603206	0	0	0	4.20841683366733	0	5.41082164328657	0	0.701402805611222	0.200400801603206	0.200400801603206	18.3366733466934	0.100200400801603	0	0	0.100200400801603	0	0	0	1.20240480961924	1.20240480961924	9.21843687374749	0
971	1002	"Hams Lake"	43.23667	-80.41333	986	"AWI"	986	2181	2870	2574	0	10.2284011916584	0	0	0	0.099304865938431	0	0	7.34856007944389	0	2.8798411122145	0	0.099304865938431	0.099304865938431	0	0	0.099304865938431	1.09235352532274	0	0	0	27.6067527308838	7.44786494538232	0	0	0	0.695134061569017	0	0.99304865938431	0	0	0	0	3.67428003972195	0	4.46871896722939	0	1.2909632571996	0.198609731876862	0.198609731876862	17.5769612711023	0.198609731876862	0	0	0.595829195630586	0	0	0	1.78748758689176	1.68818272095333	9.63257199602781	0
971	1002	"Hams Lake"	43.23667	-80.41333	996	"AWI"	996	2436	3040	2810	0	9.88310308182784	0	0.106269925611052	0	0.106269925611052	0	0	5.3134962805526	0	2.12539851222104	0	0.106269925611052	0.106269925611052	0	0	0.106269925611052	1.59404888416578	0	0	0	25.7173219978746	5.84484590860786	0	0	0	0.318809776833156	0	0.425079702444208	0	0	0	0	5.3134962805526	0.212539851222104	7.43889479277365	0	0.850159404888417	0.53134962805526	0	17.0031880977683	0.106269925611052	0	0	0.318809776833156	0	0	0	1.80658873538789	2.01912858660999	12.6461211477152	0
971	1002	"Hams Lake"	43.23667	-80.41333	1002	"AWI"	1002	2529	3138	2896	0	8.03662258392675	0	0.406917599186165	0	0	0	0	4.57782299084435	0.101729399796541	4.06917599186165	0	0.101729399796541	0	0	0	0.203458799593082	3.05188199389624	0	0.101729399796541	0	23.7029501525941	6.10376398779247	0	0	0	0.305188199389624	0	0.101729399796541	0	0	0.101729399796541	0	6.20549338758901	0.101729399796541	3.56052899287894	0	0.81383519837233	0	0.203458799593082	20.3458799593082	0	0	0	0.203458799593082	0	0.203458799593082	0	2.03458799593082	2.33977619532045	13.0213631739573	0
