"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Tsuga"
796	818	"Fallback Lake"	43.96667	-110.43333	396	"AWI"	396	12055	13452	12607	1.03092783505155	0	0	2.74914089347079	0	38.8316151202749	0	1.71821305841924	0	0.343642611683849	0.343642611683849	0	6.87285223367698	0	0	0	0.343642611683849	0	1.03092783505155	0	0	0	0.343642611683849	7.56013745704467	25.085910652921	0	8.59106529209622	0	0	0.343642611683849	0	0	0	0	0	1.03092783505155	0	3.78006872852234	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	398	"AWI"	398	12214	13505	12734	0.352112676056338	0	0.352112676056338	2.46478873239437	0	50.3521126760563	0	1.40845070422535	0.352112676056338	0	0.352112676056338	0	2.11267605633803	0	0	0	0.352112676056338	1.40845070422535	0.704225352112676	0	0	0	0	4.92957746478873	23.943661971831	0	6.33802816901408	0	0	0	0	0.352112676056338	0	0	1.05633802816901	1.40845070422535	0	1.40845070422535	0.352112676056338	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	404	"AWI"	404	12678	13698	13127	1.35593220338983	0	0.338983050847458	1.69491525423729	0.338983050847458	43.728813559322	0	1.01694915254237	0	0	1.69491525423729	0	4.74576271186441	0	0	0	0.338983050847458	1.01694915254237	2.71186440677966	0	0	0	0	6.10169491525424	24.7457627118644	0.338983050847458	6.10169491525424	0	0	0	0	0.677966101694915	0	0	0.677966101694915	1.35593220338983	0	0.677966101694915	0	0	0.338983050847458
796	818	"Fallback Lake"	43.96667	-110.43333	408	"AWI"	408	12954	13856	13388	0.65359477124183	0	0	2.94117647058824	0.65359477124183	43.7908496732026	0	0.326797385620915	0.326797385620915	0	0.65359477124183	0	6.5359477124183	0	0	0	0	1.30718954248366	4.90196078431373	0	0	0	0	6.20915032679739	20.9150326797386	0.326797385620915	6.20915032679739	0	0	0	0.326797385620915	0	0	0	0.65359477124183	1.30718954248366	0.326797385620915	1.30718954248366	0	0.326797385620915	0
796	818	"Fallback Lake"	43.96667	-110.43333	412	"AWI"	412	13196	14095	13653	0.716845878136201	0	0.3584229390681	2.1505376344086	0	44.8028673835125	0	0.716845878136201	0	0	1.4336917562724	0	6.45161290322581	0	0	0.3584229390681	0	0.3584229390681	3.2258064516129	0	0	0	0	3.584229390681	25.089605734767	0	9.31899641577061	0	0	0	0	0	0	0	0	0.716845878136201	0	0.3584229390681	0	0.3584229390681	0
796	818	"Fallback Lake"	43.96667	-110.43333	416	"AWI"	416	13330	14264	13816	0.591715976331361	0	0	4.43786982248521	0.29585798816568	37.8698224852071	0	1.4792899408284	0	0	1.4792899408284	0	11.5384615384615	0	0	0	0	0.29585798816568	4.43786982248521	0	0	0	0	2.9585798816568	18.3431952662722	0	9.76331360946746	0	0.29585798816568	0	0	0.591715976331361	0	0.29585798816568	3.55029585798817	0.591715976331361	0	1.18343195266272	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	420	"AWI"	420	13387	14328	13864	0.958466453674121	0	0	2.55591054313099	0	32.9073482428115	0	1.2779552715655	0	0	0	0	7.98722044728434	0	0	0	0.319488817891374	1.59744408945687	4.15335463258786	0	0	0.319488817891374	0	3.51437699680511	27.7955271565495	0	8.94568690095847	0	0	0	0	0	0	0.319488817891374	1.91693290734824	3.83386581469649	0	1.59744408945687	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	424	"AWI"	424	13443	14438	13906	0	0	0.352112676056338	1.76056338028169	0.352112676056338	43.6619718309859	0	1.05633802816901	0.352112676056338	0	0.352112676056338	0	14.0845070422535	0	0	0.352112676056338	0	1.05633802816901	2.11267605633803	0.352112676056338	0	0	0	2.46478873239437	10.5633802816901	0	11.9718309859155	0	0	0	0	0.352112676056338	0	0.352112676056338	4.22535211267606	1.05633802816901	0	3.16901408450704	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	428	"AWI"	428	13486	14547	13949	0	0	0.31055900621118	1.5527950310559	0.62111801242236	37.888198757764	0	0.62111801242236	0	0	0.31055900621118	0	11.8012422360248	0	0.31055900621118	0	0	0.62111801242236	3.1055900621118	0	0	0.62111801242236	0	1.86335403726708	19.2546583850932	0.31055900621118	14.9068322981366	0	0	0	0	0.62111801242236	0	0.62111801242236	2.79503105590062	1.24223602484472	0	0.62111801242236	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	432	"AWI"	432	13529	14712	13990	0.544959128065395	0	0.544959128065395	0.817438692098093	0.544959128065395	44.141689373297	0	0.544959128065395	0.272479564032698	0.817438692098093	0.817438692098093	0	7.35694822888283	0	0	0	0	0	1.36239782016349	0	0	0	0	0.817438692098093	20.9809264305177	0.272479564032698	14.7138964577657	0	0	0	0	0.544959128065395	1.63487738419619	0	1.08991825613079	0.817438692098093	0	1.36239782016349	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	436	"AWI"	436	13570	14859	14026	0.732600732600733	0	0	1.0989010989011	0.366300366300366	40.2930402930403	0	1.0989010989011	0	0.366300366300366	0	0	10.989010989011	0.366300366300366	0	0	0.366300366300366	0.732600732600733	3.2967032967033	0	0	0	0	0.732600732600733	21.2454212454212	0	13.5531135531136	0	0	0	0	0	0	0	1.83150183150183	1.46520146520147	0	1.46520146520147	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	442	"AWI"	442	13608	15077	14078	0.346020761245675	0	0	1.73010380622837	0.346020761245675	38.7543252595156	0	2.42214532871972	0	0	0	0	10.7266435986159	0	0	0	0.346020761245675	2.7681660899654	2.42214532871972	0	0	0	0	2.42214532871972	25.6055363321799	0.346020761245675	7.26643598615917	0	0	0	0	0	0	0	1.3840830449827	2.42214532871972	0	0.69204152249135	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	446	"AWI"	446	13631	15232	14116	0.56980056980057	0	0.284900284900285	1.70940170940171	0.56980056980057	37.8917378917379	0	1.42450142450142	0	0.284900284900285	0	0	8.26210826210826	0	0	0	0	1.70940170940171	1.13960113960114	0	0.284900284900285	0	0	4.27350427350427	25.3561253561254	0	10.8262108262108	0	2.56410256410256	0.284900284900285	0	0	0	0.284900284900285	1.13960113960114	0	0	0.854700854700855	0	0.284900284900285	0
796	818	"Fallback Lake"	43.96667	-110.43333	450	"AWI"	450	14306	15694	14724	0.591715976331361	0	0.29585798816568	2.66272189349112	0	36.6863905325444	0	0.591715976331361	0	0.29585798816568	0	0	7.10059171597633	0	0.29585798816568	0	0	2.36686390532544	0	0.29585798816568	0.29585798816568	0	0	2.9585798816568	24.5562130177515	0	14.2011834319527	0	0	0	0	0	0	0	1.4792899408284	2.9585798816568	0	2.07100591715976	0.29585798816568	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	454	"AWI"	454	14948	16197	15358	0.253164556962025	0	0.253164556962025	1.51898734177215	2.0253164556962	45.0632911392405	0	2.27848101265823	0	0	0	0	7.08860759493671	0	0	0	0	0.506329113924051	2.0253164556962	0.253164556962025	0.506329113924051	0	0	3.0379746835443	21.7721518987342	0	10.379746835443	0	0	0	0	0	0	0.253164556962025	1.77215189873418	0.253164556962025	0	0.759493670886076	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	458	"AWI"	458	15557	16692	15994	0	0	0.677966101694915	2.71186440677966	0.338983050847458	41.0169491525424	0	0.677966101694915	0.677966101694915	0.338983050847458	0.338983050847458	0	7.79661016949153	0	0	0.338983050847458	0	0.677966101694915	3.05084745762712	0.338983050847458	0	0	0	2.03389830508475	14.5762711864407	0	16.6101694915254	0	0	0.338983050847458	0.338983050847458	0	1.01694915254237	0	1.35593220338983	4.06779661016949	0	0.677966101694915	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	462	"AWI"	462	16156	17218	16635	1.58730158730159	0	0.264550264550265	2.91005291005291	1.05820105820106	41.2698412698413	0	0.529100529100529	0.529100529100529	0	0.264550264550265	0.264550264550265	7.93650793650794	0	0	0	0.264550264550265	0.529100529100529	1.85185185185185	0	0	0	0	4.23280423280423	22.2222222222222	0	8.99470899470899	0	0.529100529100529	0	0	0	0	0	1.32275132275132	2.38095238095238	0	1.05820105820106	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	466	"AWI"	466	16729	17756	17273	0.921658986175115	0	0	3.91705069124424	0	45.1612903225806	0	1.84331797235023	0	0	0	0	5.52995391705069	0	0.230414746543779	0	0	0.691244239631336	2.07373271889401	0	0.230414746543779	0	0	1.15207373271889	17.5115207373272	0	13.3640552995392	0	0.460829493087558	0	0.230414746543779	0	0	0	1.15207373271889	2.76497695852535	0	2.76497695852535	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	470	"AWI"	470	17271	18366	17909	0	0	0.2710027100271	2.9810298102981	1.0840108401084	49.3224932249323	0	0.813008130081301	0	0	0	0	4.0650406504065	0	0	0	0.5420054200542	1.8970189701897	0.813008130081301	0	0	0	0	2.4390243902439	11.9241192411924	0	18.1571815718157	0	0	0	0.813008130081301	0	0	0	0.813008130081301	2.1680216802168	0	1.8970189701897	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	474	"AWI"	474	17756	19013	18539	0.267379679144385	0	0.267379679144385	1.06951871657754	0.53475935828877	26.4705882352941	0	0.53475935828877	0	0	0	0	7.48663101604278	0	0	0	0.267379679144385	2.40641711229947	1.33689839572193	0	0	0	0	0.802139037433155	15.2406417112299	0	40.6417112299465	0	0.267379679144385	0	0	0	0	0	0.802139037433155	0.53475935828877	0	1.06951871657754	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	478	"AWI"	478	18248	19697	19164	0.404858299595142	0	0.809716599190283	3.64372469635628	3.64372469635628	19.4331983805668	0	0.809716599190283	0.404858299595142	0	0	0.404858299595142	8.09716599190283	0	0	0.404858299595142	0.404858299595142	7.69230769230769	0.404858299595142	0.404858299595142	0	0	0	2.42914979757085	25.1012145748988	0	14.5748987854251	0	0	0	0	0	0	0	3.64372469635628	4.04858299595142	0	2.42914979757085	0.809716599190283	0	0
