"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Larix"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
1408	1445	"Keele Lake"	64.16667	-127.61667	50	"AWI"	50	2336	2863	2589	149	0	0	3	0	128	0	0	0	0	38	0	5	0	1	0	89.5	10.5	0	0	0	1	0	0	0	5	0	1
1408	1445	"Keele Lake"	64.16667	-127.61667	55	"AWI"	55	2436	3114	2768	153	0	0	2	0	149	1	1	0	0	30	0	2	0	0	0	74	10	0	4	0	1	0	0	0	2	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	60	"AWI"	60	2574	3309	2931	152	0	0	4	0	144	0	0	0	0	16	0	1	0	0	0	82.5	8	0	0	0	1	0	0	0	5	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	65	"AWI"	65	2712	3461	3093	127	0	0	2	0	128	2	0	0	0	30	0	2	0	1	0	97	10.5	0	5	0	1	0	0	0	7	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	70	"AWI"	70	2887	3620	3258	127	0	0	3	0	121	0	0	0	0	26	0	0	0	0	0	136.5	7	0	2	0	3	0	0	0	2	0	3
1408	1445	"Keele Lake"	64.16667	-127.61667	75	"AWI"	75	3098	3758	3417	156	0	0	1	0	120	0	0	0	0	37	0	2	0	0	0	83.5	7.5	0	2	0	2	0	0	0	16	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	80	"AWI"	80	3375	3867	3558	127	0	0	2	0	111	0	0	0	0	31	1	1	0	0	0	135	7.5	0	2	0	1	0	0	0	2	0	2
1408	1445	"Keele Lake"	64.16667	-127.61667	85	"AWI"	85	3503	4446	3827	136	0	0	4	0	125	0	0	0	0	18	0	1	0	0	0	124	4	0	2	0	2	0	0	0	2	0	1
1408	1445	"Keele Lake"	64.16667	-127.61667	90	"AWI"	90	3649	4849	4119	164	0	0	3	0	146	0	1	0	0	25	0	3	0	1	0	76	6	0	5	0	3	0	0	0	4	0	1
1408	1445	"Keele Lake"	64.16667	-127.61667	95	"AWI"	95	3828	5207	4425	157	0	0	2	0	121	1	0	1	0	26	1	1	0	0	0	108	7	0	3	0	1	0	0	0	4	2	1
1408	1445	"Keele Lake"	64.16667	-127.61667	99	"AWI"	99	4007	5450	4652	145	0	0	3	0	110	1	1	0	0	25	1	2	0	0	0	101.5	3.5	0	5	0	3	0	0	0	6	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	105	"AWI"	105	4239	5826	5011	154	0	0	4	0	114	2	0	0	0	30	1	4	0	0	0	89	4	0	1	0	5	0	0	0	3	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	110	"AWI"	110	4493	6121	5308	127	0	0	3	0	144	3	0	0	0	14	0	1	0	0	0	130	3	0	0	0	1	0	0	0	5	0	3
1408	1445	"Keele Lake"	64.16667	-127.61667	115	"AWI"	115	4734	6373	5616	145	0	0	3	0	121	0	0	0	0	22	1	0	0	0	0	105	4.5	0	1	0	4	0	0	0	4	0	1
1408	1445	"Keele Lake"	64.16667	-127.61667	120	"AWI"	120	5037	6606	5900	153	0	0	4	0	127	0	0	0	0	33	0	0	1	0	0	92.5	2	0	4	0	3	0	0	0	7	1	0
1408	1445	"Keele Lake"	64.16667	-127.61667	125	"AWI"	125	5356	6826	6215	133	0	0	4	0	122	0	0	0	0	21	0	4	0	1	0	116	2	0	2	0	3	0	0	0	4	0	1
1408	1445	"Keele Lake"	64.16667	-127.61667	130	"AWI"	130	5753	7015	6506	85	0	0	5	0	158	1	0	0	0	22	0	1	0	1	0	132.5	1.5	0	1	0	2	0	0	0	3	0	2
1408	1445	"Keele Lake"	64.16667	-127.61667	135	"AWI"	135	6112	7176	6789	81	0	0	6	0	171	1	0	0	0	31	0	0	0	0	0	126	1.5	0	4	0	2	0	0	0	6	0	1
1408	1445	"Keele Lake"	64.16667	-127.61667	140	"AWI"	140	6740	7336	7042	50	0	0	2	0	182	0	0	0	0	30	0	2	0	2	0	121	0	0	1	0	1	0	0	0	11	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	145	"AWI"	145	7015	7746	7316	25	0	0	7	0	202	1	0	0	0	31	0	3	0	1	0	107	0	0	3	0	1	0	0	0	14	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	150	"AWI"	150	7192	8392	7640	12	0	0	2	0	208	2	0	0	0	31	0	6	0	2	0	117	2	0	3	0	2	0	0	0	11	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	155	"AWI"	155	7381	8857	7986	19	0	1	7	0	203	0	0	0	0	35	0	1	0	0	0	161	1	0	0	0	1	0	0	0	11	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	157.5	"AWI"	157.5	7529	9011	8168	6	0	0	7	0	232	1	0	0	0	41	0	3	0	2	0	97	2	0	0	0	1	0	0	0	10	1	0
1408	1445	"Keele Lake"	64.16667	-127.61667	160	"AWI"	160	7614	9277	8347	3	0	0	8	0	254	1	0	0	1	36	1	2	0	2	0	108.5	1	0	3	0	6	0	0	0	13	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	162.5	"AWI"	162.5	7771.5	9418	8537.5	10	1	0	4	0	252	1	0	1	0	24	1	3	0	4	0	100.5	0.5	0	3	0	3	0	0	1	13	1	0
1408	1445	"Keele Lake"	64.16667	-127.61667	165	"AWI"	165	7863	9637	8720	5	0	0	12	0	255	0	1	0	0	22	2	1	0	1	0	103.5	1	0	1	0	1	0	0	1	8	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	167.5	"AWI"	167.5	8053	9770.5	8893	6	0	0	9	0	268	0	0	0	1	32	0	2	1	0	0	97.5	0	0	2	0	8	0	0	0	9	1	0
1408	1445	"Keele Lake"	64.16667	-127.61667	170	"AWI"	170	8181	9976	9071	2	0	0	13	0	303	1	0	0	0	27	0	0	0	1	0	122	0	0	0	0	4	0	0	0	18	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	172.5	"AWI"	172.5	8375.5	10098.5	9264	1	0	0	3	0	334	0	0	0	0	17	1	0	0	1	0	33.5	1.5	0	2	0	6	0	0	0	8	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	175	"AWI"	175	8525	10276	9458	1	0	0	5	0	380	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	180	"AWI"	180	8898	10557	9836	2	0	0	6	0	364	0	0	0	1	21	0	0	0	0	0	0	0	0	2	0	3	0	0	0	11	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	185	"AWI"	185	9271	10778	10194	0	0	0	9	0	315	1	0	0	0	47	1	0	0	2	0	0	1	0	2	0	7	0	0	0	13	1	0
1408	1445	"Keele Lake"	64.16667	-127.61667	190	"AWI"	190	9776	10985	10536	0	0	0	8	0	310	3	1	0	0	59	1	0	0	0	0	0	1	0	0	0	6	0	0	0	14	1	0
1408	1445	"Keele Lake"	64.16667	-127.61667	194	"AWI"	194	10445	11090	10771	0	0	0	7	0	303	1	0	0	1	60	0	0	0	0	0	0	0	0	2	0	7	0	0	0	17	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	200	"AWI"	200	10689	11590	11067	0	0	0	2	0	127	1	0	0	0	56	0	0	0	0	0	0	0	0	3	0	6	0	0	0	12	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	210	"AWI"	210	10996	12211	11542	0	0	0	7	0	187	4	0	0	0	51	0	0	0	0	0	0	0	0	1	0	4	0	0	0	13	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	220	"AWI"	220	11387	12742	12026	0	2	0	10	0	271	0	0	0	0	31	0	0	0	0	1	0	1	0	1	0	2	0	0	0	14	2	0
1408	1445	"Keele Lake"	64.16667	-127.61667	230	"AWI"	230	11799	13191	12505	1	0	0	14	3	160	5	0	0	0	82	0	0	0	0	0	0	0.5	1	6	0	7	0	0	1	15	1	0
1408	1445	"Keele Lake"	64.16667	-127.61667	240	"AWI"	240	12304	13576	12990	0	2	0	17	3	87	2	0	0	0	76	1	1	0	0	0	0	0	0	4	0	1	0	0	0	17	1	0
1408	1445	"Keele Lake"	64.16667	-127.61667	250	"AWI"	250	12824	13908	13461	0	1	0	32	0	68	3	0	0	0	79	0	1	0	0	0	0	1	0	3	0	1	1	0	0	20	2	0
1408	1445	"Keele Lake"	64.16667	-127.61667	257	"AWI"	257	13384	14096	13761	0	1	0	33	0	29	2	0	0	0	101	0	0	0	0	0	0	0	0	13	0	0	0	0	0	22	2	0
