"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Cercocarpus"	"Cyperaceae"	"Elaeagnus"	"Ephedraceae"	"Fabaceae"	"Grossulariaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Malvaceae"	"Montiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Sarcobataceae"
982	1013	"Hay Lake"	34	-109.425	176	"AWI"	176	17491	22924	19936	0	0	12	0	59	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	23	165	43	0	2	0	0	6	1	0	0	1
982	1013	"Hay Lake"	34	-109.425	180	"AWI"	180	17787	24516	20732	0	0	11	0	37	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	11	156	37	0	0	0	0	3	1	0	0	1
982	1013	"Hay Lake"	34	-109.425	192	"AWI"	192	19821	26911	23382	2	0	3	0	56	0	0	1	0	0	0	4	0	0	0	0	3	0	0	0	0	0	17	162	39	0	0	0	0	9	0	0	0	2
982	1013	"Hay Lake"	34	-109.425	203	"AWI"	203	22091	28669	25837	1	0	16	0	73	0	0	6	0	0	0	2	0	0	0	1	0	0	0	0	0	0	16	125	72	0	0	0	0	1	0	0	0	3
982	1013	"Hay Lake"	34	-109.425	209	"AWI"	209	23591	29414	27187	0	0	7	0	40	0	0	1	1	0	0	5	0	0	0	0	3	1	2	0	0	0	10	178	69	0	0	0	0	4	4	0	0	2
982	1013	"Hay Lake"	34	-109.425	217	"AWI"	217	24820	30376	28183	1	0	11	0	54	0	0	1	0	0	1	4	0	0	0	0	6	0	0	0	0	0	9	194	37	0	0	0	0	4	1	0	0	3
982	1013	"Hay Lake"	34	-109.425	221	"AWI"	221	25280	30988	28595	3	1	5	0	31	0	0	0	0	0	0	5	0	1	0	0	6	0	3	0	0	0	13	242	12	0	0	0	0	5	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	230	"AWI"	230	26222	32188	29478	1	0	6	1	103	0	0	4	0	0	0	1	0	0	0	0	3	0	0	0	0	0	28	238	24	0	0	0	0	4	1	0	0	7
982	1013	"Hay Lake"	34	-109.425	242	"AWI"	242	27709	33554	30708	1	0	10	0	102	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	22	240	22	0	0	0	0	2	0	0	0	2
982	1013	"Hay Lake"	34	-109.425	248	"AWI"	248	28350	34231	31321	12	0	15	0	91	0	0	0	1	0	0	0	0	0	1	0	6	0	0	0	0	0	31	150	8	0	1	0	0	3	1	0	0	2
982	1013	"Hay Lake"	34	-109.425	259	"AWI"	259	29508	35717	32616	2	0	9	0	24	0	0	2	0	0	0	0	0	0	0	1	3	0	6	0	0	0	27	224	23	0	1	0	0	2	0	0	1	2
982	1013	"Hay Lake"	34	-109.425	267	"AWI"	267	30430	36496	33505	3	0	17	0	59	0	0	0	0	0	0	2	0	0	0	0	3	0	4	0	0	0	17	172	17	0	0	0	0	0	0	0	1	1
982	1013	"Hay Lake"	34	-109.425	276	"AWI"	276	31445	37540	34567	2	0	20	0	76	0	0	1	0	0	0	2	0	0	0	1	6	0	3	0	0	0	35	176	19	0	0	0	0	0	0	0	0	2
982	1013	"Hay Lake"	34	-109.425	288	"AWI"	288	32631	38820	35935	1	0	25	0	94	0	0	0	0	0	1	1	0	1	1	0	7	0	0	0	0	0	12	144	39	0	0	0	0	2	0	0	1	1
982	1013	"Hay Lake"	34	-109.425	296	"AWI"	296	33436	39398	36892	3	0	19	0	55	0	0	0	0	0	0	3	0	1	0	0	5	0	8	1	0	0	10	174	22	0	0	1	2	4	0	0	0	1
982	1013	"Hay Lake"	34	-109.425	303	"AWI"	303	34307	39981	37687	0	0	37	0	96	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	15	160	19	0	0	0	0	0	0	0	0	1
982	1013	"Hay Lake"	34	-109.425	315	"AWI"	315	36048	40811	39126	1	0	19	0	44	0	0	1	0	0	0	15	0	0	1	0	11	0	3	0	0	0	5	132	14	0	2	0	0	2	1	0	0	1
982	1013	"Hay Lake"	34	-109.425	326	"AWI"	326	37977	41483	40363	0	0	13	0	38	0	0	0	0	0	0	3	0	1	1	1	7	0	12	0	0	0	8	121	19	0	1	0	2	0	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	338	"AWI"	338	40976	41915	41551	0	0	21	1	66	0	0	0	0	0	0	3	1	0	0	0	7	0	15	0	0	0	13	123	22	0	2	1	0	1	1	0	0	3
982	1013	"Hay Lake"	34	-109.425	348	"AWI"	348	41705	43657	42347	1	0	12	0	65	0	0	0	0	0	3	4	0	0	0	0	10	0	7	1	0	0	7	143	15	0	0	0	0	0	0	0	0	3
982	1013	"Hay Lake"	34	-109.425	355	"AWI"	355	41985	44768	42918	0	0	27	0	67	0	3	0	0	0	0	3	0	0	0	0	12	0	9	0	0	0	3	117	11	0	2	0	1	1	1	0	0	0
982	1013	"Hay Lake"	34	-109.425	367	"AWI"	367	42549	46285	43939	0	0	20	0	39	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	2	123	2	0	0	0	0	0	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	376	"AWI"	376	43051	47415	44689	1	0	16	0	47	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	7	164	19	0	0	0	0	0	1	0	0	0
982	1013	"Hay Lake"	34	-109.425	388	"AWI"	388	43724	48866	45661	0	0	15	0	19	19	0	0	0	0	0	1	0	0	0	0	3	0	6	0	0	0	12	186	21	0	0	0	0	7	1	0	0	0
982	1013	"Hay Lake"	34	-109.425	399.5	"AWI"	399.5	44476	50167.5	46612	1	0	19	0	19	0	3	0	0	0	0	0	0	1	3	0	3	0	3	0	0	0	4	176	5	0	0	0	0	0	0	0	0	2
982	1013	"Hay Lake"	34	-109.425	412	"AWI"	412	45506	51240	47591	0	0	15	0	16	0	0	0	0	0	0	2	0	0	1	0	14	0	4	0	0	0	1	102	13	0	1	1	0	1	0	0	0	2
982	1013	"Hay Lake"	34	-109.425	420	"AWI"	420	46178	52151	48204	0	2	49	0	40	0	0	0	0	0	0	6	0	1	0	0	11	1	13	0	0	0	2	117	14	0	0	6	0	2	1	0	0	0
