"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Juglans"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tsuga"
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	140	"AWI"	140	2602	3367	2975	51	0	1	0	32	0	3	8	0	0	5	0	153	33	0	0	0	23	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	142.5	"AWI"	142.5	2637	3391	3005.5	79	0	1	0	37	0	4	63	0	0	5	0	121	39	2	0	0	15	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	145	"AWI"	145	2668	3420	3035	73	0	3	0	37	0	3	11	0	0	4	0	131	34	2	0	0	13	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	147.5	"AWI"	147.5	2694.5	3449	3065	70	0	2	0	20	0	1	11	0	0	2	0	166	31	0	0	0	7	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	150	"AWI"	150	2712	3480	3095	64	0	1	0	28	0	1	9	0	0	1	0	164	27	0	0	0	13	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	152.5	"AWI"	152.5	2747	3510	3124.5	91	1	1	0	35	0	2	8	0	0	2	0	123	15	0	0	0	32	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	155	"AWI"	155	2777	3537	3155	82	0	2	0	35	0	1	2	0	0	1	0	146	13	1	0	0	15	4	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	157.5	"AWI"	157.5	2803.5	3573.5	3183.5	65	0	0	0	25	0	0	6	0	0	2	0	155	30	2	0	0	20	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	160	"AWI"	160	2828	3617	3213	61	1	0	0	25	0	0	7	0	0	2	0	154	30	1	0	0	22	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	162.5	"AWI"	162.5	2868	3636	3244	83	0	2	0	31	0	2	9	0	0	3	0	124	31	1	0	0	24	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	165	"AWI"	165	2892	3661	3273	90	2	1	0	36	0	5	32	0	0	11	0	104	30	2	0	0	21	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	167.5	"AWI"	167.5	2914.5	3690.5	3303.5	94	0	0	0	22	0	1	4	0	0	1	0	109	27	0	0	0	43	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	170	"AWI"	170	2937	3729	3331	39	1	1	0	17	0	0	5	0	0	6	0	185	35	0	0	0	12	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	172.5	"AWI"	172.5	2975	3746.5	3362.5	54	0	3	0	21	0	1	20	0	0	2	0	149	36	0	0	0	32	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	175	"AWI"	175	3005	3772	3396	78	0	1	0	19	0	2	2	0	0	18	0	12	17	2	0	0	42	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	177.5	"AWI"	177.5	3031	3803	3425.5	77	0	5	0	23	0	4	28	0	0	1	0	141	44	1	0	0	6	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	180	"AWI"	180	3049	3835	3454	53	2	1	0	21	0	1	19	0	0	7	0	160	40	0	0	0	14	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	182.5	"AWI"	182.5	3086.5	3859	3482.5	54	1	2	0	23	0	2	9	0	0	1	0	171	39	3	0	0	5	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	185	"AWI"	185	3123	3882	3512	71	0	0	0	22	0	0	7	0	0	10	0	145	37	2	0	0	13	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	187.5	"AWI"	187.5	3149.5	3912.5	3542	86	0	1	0	27	0	0	7	0	0	4	0	148	28	0	0	0	3	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	190	"AWI"	190	3174	3949	3572	73	0	0	0	33	0	0	6	0	0	0	0	145	37	6	0	0	5	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	192.5	"AWI"	192.5	3218	3969	3602	79	0	3	0	32	0	0	8	0	0	1	0	150	29	0	0	0	5	0	0	1	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	195	"AWI"	195	3256	3989	3633	61	0	0	0	15	0	1	3	0	0	4	0	168	33	0	0	0	8	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	197.5	"AWI"	197.5	3286.5	4017	3663.5	61	0	3	0	27	0	0	6	0	0	1	0	169	24	1	0	0	12	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	200	"AWI"	200	3309	4053	3695	75	1	0	0	14	0	0	8	0	0	5	0	167	35	0	0	0	3	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	202.5	"AWI"	202.5	3351	4073.5	3724	70	0	1	0	35	0	1	10	0	0	2	0	153	22	0	0	0	16	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	205	"AWI"	205	3383	4095	3752	40	0	0	0	233	0	0	13	0	0	2	0	15	4	5	0	0	0	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	207.5	"AWI"	207.5	3409.5	4121	3782.5	92	0	1	0	45	0	5	11	0	0	1	0	129	21	1	0	0	8	0	1	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	210	"AWI"	210	3435	4154	3812	68	0	1	0	8	0	4	3	0	0	11	0	164	38	0	0	0	3	3	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	212.5	"AWI"	212.5	3481	4173	3840	49	0	1	0	24	0	0	5	0	0	2	0	187	31	0	0	0	5	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	215	"AWI"	215	3523	4192	3870	59	0	0	0	16	0	2	3	0	0	9	0	167	38	1	0	0	4	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	217.5	"AWI"	217.5	3557	4215.5	3900	88	0	0	0	35	0	2	67	0	0	2	0	128	31	1	0	0	14	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	220	"AWI"	220	3581	4246	3929	69	0	0	0	16	0	6	15	0	0	5	0	168	24	1	0	0	15	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	222.5	"AWI"	222.5	3619.5	4267.5	3957.5	60	0	0	0	35	0	0	18	0	0	2	0	148	34	0	0	0	17	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	225	"AWI"	225	3647	4291	3985	37	0	0	0	4	0	0	5	0	0	4	0	196	41	0	0	0	2	0	0	1	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	227.5	"AWI"	227.5	3669.5	4323	4011.5	107	0	2	0	28	0	1	8	0	0	3	1	135	16	2	0	3	2	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	230	"AWI"	230	3693	4364	4037	93	0	0	0	26	0	1	63	0	0	5	0	136	22	0	0	0	16	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	232.5	"AWI"	232.5	3720.5	4387	4063.5	83	2	0	0	35	0	2	24	0	0	3	0	144	18	0	0	0	13	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	235	"AWI"	235	3746	4413	4088	111	0	1	0	21	0	6	29	0	0	7	1	123	17	3	0	0	11	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	237.5	"AWI"	237.5	3764.5	4446	4110.5	94	0	2	0	65	0	3	31	0	0	2	0	97	18	3	0	0	11	7	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	240	"AWI"	240	3781	4485	4134	93	0	2	0	49	0	2	28	0	0	9	0	97	29	0	0	0	15	3	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	242.5	"AWI"	242.5	3806.5	4509	4161	107	0	0	0	77	0	2	26	0	0	6	0	80	14	3	0	0	9	3	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	245	"AWI"	245	3830	4537	4186	100	0	1	0	41	0	3	26	0	0	6	0	99	36	0	0	0	14	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	247.5	"AWI"	247.5	3851	4572	4210.5	82	0	1	0	104	0	1	15	0	0	7	0	88	13	0	0	0	999	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	250	"AWI"	250	3871	4608	4234	99	0	1	0	84	0	0	7	0	0	9	0	90	11	1	0	0	1	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	252.5	"AWI"	252.5	3897	4637	4259.5	52	0	3	0	57	0	0	16	0	0	15	0	104	48	0	0	0	12	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	255	"AWI"	255	3920	4666	4286	75	0	3	0	66	0	4	46	0	0	16	0	79	48	0	0	0	7	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	257.5	"AWI"	257.5	3941.5	4697.5	4312	30	0	1	0	46	0	1	26	0	0	3	0	124	89	1	0	0	3	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	260	"AWI"	260	3957	4737	4336	41	0	3	0	46	0	0	47	0	0	8	0	137	59	2	0	0	3	0	1	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	262.5	"AWI"	262.5	3988.5	4764	4360.5	39	0	3	0	60	0	1	66	0	0	5	1	93	86	1	0	0	5	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	265	"AWI"	265	4015	4793	4386	54	0	1	0	111	0	1	20	0	0	20	0	67	36	0	0	0	3	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	267.5	"AWI"	267.5	4037.5	4824.5	4410.5	55	0	2	0	97	0	4	23	0	0	15	0	58	63	2	0	0	2	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	270	"AWI"	270	4058	4861	4436	52	0	3	0	102	0	19	24	0	0	7	0	67	57	2	0	0	7	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	272.5	"AWI"	272.5	4090.5	4892	4462	64	1	3	0	20	0	2	2	0	0	6	0	161	20	0	0	0	23	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	275	"AWI"	275	4117	4922	4487	62	1	0	0	58	0	3	21	0	0	5	0	102	49	3	0	0	16	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	277.5	"AWI"	277.5	4141.5	4961.5	4514.5	77	0	3	0	31	0	1	4	0	0	5	0	119	28	0	0	0	33	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	280	"AWI"	280	4162	4997	4539	73	0	1	0	48	0	8	43	0	0	10	0	79	78	2	0	0	7	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	282.5	"AWI"	282.5	4189	5018.5	4569	102	0	1	0	31	0	0	14	0	0	5	0	116	28	0	0	0	15	0	0	1	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	285	"AWI"	285	4216	5053	4598	69	0	2	0	21	0	0	3	0	0	8	0	135	40	2	0	0	17	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	287.5	"AWI"	287.5	4239	5091.5	4625	53	0	2	0	23	0	1	3	0	0	8	0	161	34	2	0	0	5	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	290	"AWI"	290	4260	5131	4653	70	1	5	0	23	0	1	14	0	0	8	0	153	34	1	0	0	2	1	0	0	0
