"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Malvaceae"	"Nyctaginaceae"	"Picea"	"Pinaceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Ulmus"
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	605	"AWI"	605	29768	31597	30617	1	0	0	61	441	67	0	11	0	1	0	27	0	2	0	0	56	10	91	28	0	0	2	0	0	0	0	2	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	612	"AWI"	612	29856	31659	30689	0	0	0	44	251	0	0	3	0	0	0	0	0	0	0	0	30	12	46	20	0	0	0	0	0	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	624	"AWI"	624	30017	31790	30817	4	0	0	56	552	53	1	5	1	1	0	33	0	0	0	0	123	31	189	41	0	0	0	0	2	1	3	1	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	642	"AWI"	642	30277	31967	31002	0	0	0	61	444	38	1	19	1	1	0	51	0	0	1	0	84	0	108	31	0	0	1	0	3	0	1	4	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	652	"AWI"	652	30409	32066	31108	12	0	0	45	403	0	0	0	0	0	1	0	0	0	0	0	53	17	103	46	0	0	0	0	4	0	0	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	660	"AWI"	660	30514	32137	31191	2	2	0	72	490	73	0	12	1	0	0	62	0	2	0	0	66	16	112	48	0	0	0	0	4	2	3	3	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	671	"AWI"	671	30686	32235	31303	2	0	0	77	401	79	0	11	0	2	0	74	0	1	0	0	68	32	107	39	0	0	0	0	1	2	1	7	2	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	679	"AWI"	679	30793	32303	31383	1	0	0	45	246	32	0	0	2	0	0	21	0	0	0	0	100	52	200	43	0	0	0	0	3	0	2	0	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	687	"AWI"	687	30905	32381	31466	11	1	1	39	540	79	0	8	4	1	0	82	0	0	0	0	162	102	491	67	0	1	3	0	6	1	0	0	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	691	"AWI"	691	30956	32427	31507	3	0	0	44	266	41	0	0	1	0	0	21	1	0	0	0	67	27	150	25	1	1	0	0	1	0	0	1	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	695	"AWI"	695	31024	32462	31548	1	0	0	59	303	62	0	3	7	2	0	51	0	1	0	0	87	3	66	21	0	0	0	1	3	0	1	13	2	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	710	"AWI"	710	31267	32575	31695	0	0	0	76	403	47	0	6	1	1	0	58	0	0	0	1	56	28	110	53	0	0	2	0	1	0	0	13	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	735	"AWI"	735	31650	32821	31946	4	0	0	140	727	93	2	7	1	0	1	62	0	0	0	0	123	70	267	147	0	0	0	0	3	1	3	2	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	747	"AWI"	747	31730	32976	32070	1	0	0	59	424	61	0	2	0	2	0	30	0	0	0	0	158	134	275	97	0	0	5	0	0	0	2	2	2	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	754	"AWI"	754	31782	33060	32145	3	0	0	17	192	27	0	0	1	1	1	47	0	0	0	0	102	43	174	35	0	0	0	0	1	0	0	3	1	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	764	"AWI"	764	31856	33183	32254	2	0	0	0	497	0	6	0	0	0	0	0	0	0	0	0	175	172	295	99	0	1	0	0	4	0	3	0	6	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	765	"AWI"	765	31862	33196	32264	1	0	0	32	199	0	0	1	0	0	0	0	0	0	0	0	14	32	69	44	0	0	1	0	0	0	0	2	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	781	"AWI"	781	31983	33391	32433	4	0	0	12	175	41	3	0	2	5	1	46	0	0	0	0	67	14	213	79	0	0	2	0	5	0	0	0	5	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	793	"AWI"	793	32068	33526	32554	1	0	0	38	308	42	3	1	0	3	2	43	0	0	0	0	71	42	189	27	0	0	1	0	2	1	0	3	3	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	808	"AWI"	808	32184	33715	32710	0	0	0	37	239	44	1	2	0	1	0	41	0	0	0	0	73	19	229	34	0	2	0	0	0	1	2	4	0	0
655	671	"Toadlena Lake [Dead Man Lake]"	36.236518	-108.953646	812	"AWI"	812	32207	33762	32752	4	0	0	43	343	68	0	7	1	0	0	69	0	0	0	0	67	44	358	37	0	1	0	1	2	0	0	7	0	0
