"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
263	269	"Banks Island 74MS15"	73.53333	-120.21667	50	"AWI"	50	1854	3351	2796	0	4.77707006369427	0	3.18471337579618	0	0	33.4394904458599	6.36942675159236	0.636942675159236	3.18471337579618	0.636942675159236	41.4012738853503	0	0	3.18471337579618	3.18471337579618
263	269	"Banks Island 74MS15"	73.53333	-120.21667	55	"AWI"	55	2619	3491	3063	0	3.92749244712991	0	4.53172205438066	0	0	31.4199395770393	5.4380664652568	1.51057401812689	3.62537764350453	0.906344410876133	41.3897280966767	0	0	3.92749244712991	3.32326283987915
263	269	"Banks Island 74MS15"	73.53333	-120.21667	61	"AWI"	61	3033	3899	3438	2.54777070063694	3.5031847133758	3.82165605095541	3.82165605095541	0	1.27388535031847	20.3821656050955	0	1.27388535031847	3.82165605095541	0.318471337579618	50.9554140127389	2.54777070063694	0	2.86624203821656	2.86624203821656
263	269	"Banks Island 74MS15"	73.53333	-120.21667	65	"AWI"	65	3201	4295	3718	2.2508038585209	1.92926045016077	2.89389067524116	4.82315112540193	0	2.2508038585209	23.1511254019293	0	0.321543408360129	4.5016077170418	0.643086816720257	49.8392282958199	2.2508038585209	0	1.60771704180064	3.53697749196141
263	269	"Banks Island 74MS15"	73.53333	-120.21667	70	"AWI"	70	3304	4998	4060	0	3.7593984962406	0	9.02255639097744	6.76691729323308	8.27067669172932	23.6842105263158	0	1.12781954887218	3.7593984962406	1.8796992481203	36.0902255639098	0	0	3.7593984962406	1.8796992481203
263	269	"Banks Island 74MS15"	73.53333	-120.21667	75	"AWI"	75	3651	5176	4427	0	3.66300366300366	0	9.15750915750916	6.95970695970696	7.69230769230769	22.7106227106227	0	0.366300366300366	5.49450549450549	2.1978021978022	35.8974358974359	0	0	4.3956043956044	1.46520146520147
263	269	"Banks Island 74MS15"	73.53333	-120.21667	80	"AWI"	80	3819	5569	4795	0	3.32225913621263	2.99003322259136	11.9601328903654	1.66112956810631	0	22.5913621262458	0	0.664451827242525	4.65116279069767	2.99003322259136	44.8504983388704	0	0	1.66112956810631	2.6578073089701
263	269	"Banks Island 74MS15"	73.53333	-120.21667	85	"AWI"	85	4438	5668	5115	0	3.48101265822785	2.21518987341772	12.6582278481013	1.89873417721519	0	23.4177215189873	0	2.21518987341772	5.06329113924051	2.53164556962025	41.1392405063291	0	0	2.84810126582278	2.53164556962025
263	269	"Banks Island 74MS15"	73.53333	-120.21667	90	"AWI"	90	4747	5913	5482	1.69491525423729	1.69491525423729	3.38983050847458	5.08474576271187	0	1.69491525423729	25.4237288135593	0	1.01694915254237	5.08474576271187	0	49.1525423728814	0	0	1.69491525423729	4.06779661016949
263	269	"Banks Island 74MS15"	73.53333	-120.21667	95	"AWI"	95	5339	6103	5732	1.30293159609121	2.60586319218241	2.93159609120521	6.84039087947883	0	1.30293159609121	25.0814332247557	0	1.62866449511401	5.53745928338762	0	45.928338762215	0	0	2.60586319218241	4.23452768729642
