"cluster.id" "x" "y"
"23895.1" "clust.11" 9.5625 47.27083
"23835.1" "clust.11" 10.0125 47.57083
"23824.1" "clust.11" 10.670833 47.60417
"23943.2" "clust.11" 11.4625 46.5375
"23824.2" "clust.11" 10.670833 47.60417
"23944.3" "clust.11" 11.554167 46.5375
"23875.1" "clust.11" 9.670833 47.40417
"23892.1" "clust.11" 9.554167 47.27917
"23972.1" "clust.11" 10.1625 45.7875
"23937.1" "clust.11" 11.554167 46.57917
"23792" "clust.11" 10.620833 47.80417
"23783.1" "clust.11" 12.479167 47.9375
"23816.2" "clust.11" 15.829167 47.65417
"23835.2" "clust.11" 10.0125 47.57083
"23943.3" "clust.11" 11.4625 46.5375
"23783.2" "clust.11" 12.479167 47.9375
"23822.3" "clust.11" 13.704167 47.62917
"23905" "clust.11" 9.720833 47.19583
"23892.2" "clust.11" 9.554167 47.27917
"23972.2" "clust.11" 10.1625 45.7875
"23822.4" "clust.11" 13.704167 47.62917
"23939.4" "clust.11" 11.579167 46.5625
"23891.1" "clust.11" 9.554167 47.2875
"23824.3" "clust.11" 10.670833 47.60417
"23843.1" "clust.11" 16.054167 47.55417
"23946.1" "clust.11" 11.529167 46.52917
"23939.5" "clust.11" 11.579167 46.5625
"23787.1" "clust.11" 10.629167 47.82917
"23842" "clust.11" 16.020833 47.55417
"23940.5" "clust.11" 11.5375 46.55417
"23792.1" "clust.11" 10.620833 47.80417
"23824.4" "clust.11" 10.670833 47.60417
"23891.2" "clust.11" 9.554167 47.2875
"23893.2" "clust.11" 9.5375 47.27083
"23947" "clust.11" 14.295833 46.52917
"23972.3" "clust.11" 10.1625 45.7875
"23892.3" "clust.11" 9.554167 47.27917
"23822.5" "clust.11" 13.704167 47.62917
"23947.1" "clust.11" 14.295833 46.52917
"23940.6" "clust.11" 11.5375 46.55417
"23905.1" "clust.11" 9.720833 47.19583
"23843.2" "clust.11" 16.054167 47.55417
"23810" "clust.11" 15.9375 47.67917
"23895.2" "clust.11" 9.5625 47.27083
"23843.3" "clust.11" 16.054167 47.55417
"23943.4" "clust.11" 11.4625 46.5375
"23891.3" "clust.11" 9.554167 47.2875
"23816.3" "clust.11" 15.829167 47.65417
"23784" "clust.12" 16.045833 47.92083
"23779" "clust.12" 16.195833 48.1625
"23782" "clust.12" 14.7375 48.00417
"23777" "clust.12" 16.079167 48.17917
"23782.1" "clust.12" 14.7375 48.00417
"23931" "clust.12" 11.129167 46.70417
"23931.1" "clust.12" 11.129167 46.70417
"23782.2" "clust.12" 14.7375 48.00417
"23784.1" "clust.12" 16.045833 47.92083
"23782.3" "clust.12" 14.7375 48.00417
"23782.4" "clust.12" 14.7375 48.00417
"23784.2" "clust.12" 16.045833 47.92083
"23777.1" "clust.12" 16.079167 48.17917
"23782.5" "clust.12" 14.7375 48.00417
"23777.2" "clust.12" 16.079167 48.17917
"23802" "clust.12" 16.329167 47.77917
